News Search interest
United States; 2013

Interest over time
Week,Travel
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+15%
2013-01-20 - 2013-01-26,+0%
2013-01-27 - 2013-02-02,-2%
2013-02-03 - 2013-02-09,+4%
2013-02-10 - 2013-02-16,+43%
2013-02-17 - 2013-02-23,+30%
2013-02-24 - 2013-03-02,+57%
2013-03-03 - 2013-03-09,+49%
2013-03-10 - 2013-03-16,+40%
2013-03-17 - 2013-03-23,+15%
2013-03-24 - 2013-03-30,+4%
2013-03-31 - 2013-04-06,+4%
2013-04-07 - 2013-04-13,+2%
2013-04-14 - 2013-04-20,+19%
2013-04-21 - 2013-04-27,+0%
2013-04-28 - 2013-05-04,+15%
2013-05-05 - 2013-05-11,+13%
2013-05-12 - 2013-05-18,+0%
2013-05-19 - 2013-05-25,-6%
2013-05-26 - 2013-06-01,+23%
2013-06-02 - 2013-06-08,+26%
2013-06-09 - 2013-06-15,+15%
2013-06-16 - 2013-06-22,+23%
2013-06-23 - 2013-06-29,+15%
2013-06-30 - 2013-07-06,+45%
2013-07-07 - 2013-07-13,+113%
2013-07-14 - 2013-07-20,+45%
2013-07-21 - 2013-07-27,+49%
2013-07-28 - 2013-08-03,+36%
2013-08-04 - 2013-08-10,+21%
2013-08-11 - 2013-08-17,+19%
2013-08-18 - 2013-08-24,+21%
2013-08-25 - 2013-08-31,+15%
2013-09-01 - 2013-09-07,+6%
2013-09-08 - 2013-09-14,+4%
2013-09-15 - 2013-09-21,+40%
2013-09-22 - 2013-09-28,+9%
2013-09-29 - 2013-10-05,+11%
2013-10-06 - 2013-10-12,+2%
2013-10-13 - 2013-10-19,+2%
2013-10-20 - 2013-10-26,+4%
2013-10-27 - 2013-11-02,+13%
2013-11-03 - 2013-11-09,-4%
2013-11-10 - 2013-11-16,+4%
2013-11-17 - 2013-11-23,+4%
2013-11-24 - 2013-11-30,-6%
2013-12-01 - 2013-12-07,-11%
2013-12-08 - 2013-12-14,-4%
2013-12-15 - 2013-12-21,-6%
2013-12-22 - 2013-12-28,+2%
2013-12-29 - 2014-01-04,+6%



Top searches
airlines,100
vegas,55
las vegas,55
airport,50
ios,30
cruise,30
ios 7,25
asiana,25
american airlines,25
hotel,20
asiana airlines,20
carnival,20
southwest,20
flight,20
bus,20
lumia,20
boeing,20
united,20
nokia lumia,20
nokia,20



Rising searches
asiana,Breakout
asiana airlines,Breakout
ios 7,Breakout
nokia lumia,+400%
nokia,+350%
lumia,+250%
carnival,+180%
carnival cruise,+170%
falklands,+170%
ios,+150%



