YouTube Search interest
United States; Past 90 days

Interest over time
Day,Games
2014-06-20,+0%
2014-06-21,+10%
2014-06-22,+10%
2014-06-23,+1%
2014-06-24,+0%
2014-06-25,-1%
2014-06-26,+1%
2014-06-27,+0%
2014-06-28,+2%
2014-06-29,+5%
2014-06-30,+2%
2014-07-01,+1%
2014-07-02,+0%
2014-07-03,-2%
2014-07-04,+0%
2014-07-05,+4%
2014-07-06,+5%
2014-07-07,+2%
2014-07-08,+0%
2014-07-09,-1%
2014-07-10,-2%
2014-07-11,-3%
2014-07-12,+2%
2014-07-13,+5%
2014-07-14,+2%
2014-07-15,-2%
2014-07-16,+1%
2014-07-17,+0%
2014-07-18,+1%
2014-07-19,+2%
2014-07-20,+7%
2014-07-21,+3%
2014-07-22,+2%
2014-07-23,+0%
2014-07-24,-1%
2014-07-25,-2%
2014-07-26,+3%
2014-07-27,+3%
2014-07-28,+2%
2014-07-29,+1%
2014-07-30,+2%
2014-07-31,-1%
2014-08-01,-1%
2014-08-02,+0%
2014-08-03,+4%
2014-08-04,+1%
2014-08-05,-2%
2014-08-06,-1%
2014-08-07,-2%
2014-08-08,-4%
2014-08-09,+1%
2014-08-10,+1%
2014-08-11,+1%
2014-08-12,-2%
2014-08-13,+1%
2014-08-14,+2%
2014-08-15,+1%
2014-08-16,+9%
2014-08-17,+10%
2014-08-18,+1%
2014-08-19,-5%
2014-08-20,-8%
2014-08-21,-9%
2014-08-22,-8%
2014-08-23,+2%
2014-08-24,+1%
2014-08-25,-10%
2014-08-26,-10%
2014-08-27,-12%
2014-08-28,-14%
2014-08-29,-11%
2014-08-30,+2%
2014-08-31,+8%
2014-09-01,+2%
2014-09-02,-9%
2014-09-03,-13%
2014-09-04,-16%
2014-09-05,-18%
2014-09-06,+1%
2014-09-07,+5%
2014-09-08,-13%
2014-09-09,-14%
2014-09-10,-18%
2014-09-11,-18%
2014-09-12,-16%
2014-09-13,+0%
2014-09-14,+0%
2014-09-15,-15%
2014-09-16,-19%
2014-09-17,-19%
2014-09-18, 
2014-09-19, 



Top searches
gta,100
minecraft,95
games,80
mario,70
gta 5,70
pokemon,60
skyrim,40
xbox 360,40
sonic,40
call of duty,40
sims,35
halo,30
black ops 2,30
game grumps,25
ps4,25
smash bros,20
pewdiepie,20
mortal kombat,20
destiny,20
tf2,20



Rising searches
madden 15,+800%
american ninja warrior,+700%
ninja warrior,+450%
destiny,+300%
destiny gameplay,+250%
sims 4,+250%
warlords of draenor,+250%
silent hill,+130%
fight night,+90%
fifa 14,+70%



