Web Search interest
United States; 2009

Interest over time
Week,Jobs & Education
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+1%
2009-01-18 - 2009-01-24,-5%
2009-01-25 - 2009-01-31,+1%
2009-02-01 - 2009-02-07,-4%
2009-02-08 - 2009-02-14,-9%
2009-02-15 - 2009-02-21,-8%
2009-02-22 - 2009-02-28,-4%
2009-03-01 - 2009-03-07,-4%
2009-03-08 - 2009-03-14,-7%
2009-03-15 - 2009-03-21,-11%
2009-03-22 - 2009-03-28,-8%
2009-03-29 - 2009-04-04,-8%
2009-04-05 - 2009-04-11,-12%
2009-04-12 - 2009-04-18,-11%
2009-04-19 - 2009-04-25,-7%
2009-04-26 - 2009-05-02,+1%
2009-05-03 - 2009-05-09,-8%
2009-05-10 - 2009-05-16,-6%
2009-05-17 - 2009-05-23,-9%
2009-05-24 - 2009-05-30,-16%
2009-05-31 - 2009-06-06,-15%
2009-06-07 - 2009-06-13,-20%
2009-06-14 - 2009-06-20,-18%
2009-06-21 - 2009-06-27,-25%
2009-06-28 - 2009-07-04,-28%
2009-07-05 - 2009-07-11,-23%
2009-07-12 - 2009-07-18,-23%
2009-07-19 - 2009-07-25,-23%
2009-07-26 - 2009-08-01,-18%
2009-08-02 - 2009-08-08,-15%
2009-08-09 - 2009-08-15,-11%
2009-08-16 - 2009-08-22,-5%
2009-08-23 - 2009-08-29,+1%
2009-08-30 - 2009-09-05,+3%
2009-09-06 - 2009-09-12,-2%
2009-09-13 - 2009-09-19,-1%
2009-09-20 - 2009-09-26,+0%
2009-09-27 - 2009-10-03,-2%
2009-10-04 - 2009-10-10,-3%
2009-10-11 - 2009-10-17,-7%
2009-10-18 - 2009-10-24,-5%
2009-10-25 - 2009-10-31,-6%
2009-11-01 - 2009-11-07,-1%
2009-11-08 - 2009-11-14,-5%
2009-11-15 - 2009-11-21,-8%
2009-11-22 - 2009-11-28,-27%
2009-11-29 - 2009-12-05,-10%
2009-12-06 - 2009-12-12,-12%
2009-12-13 - 2009-12-19,-15%
2009-12-20 - 2009-12-26,-38%
2009-12-27 - 2010-01-02,-38%



Top searches
school,100
college,65
jobs,45
education,15
test,10
resume,10
academy,5
employment,5
swine flu,5
harvard,5
barnes and noble,5
cover letter,5
blackboard,5
career builder,5
princeton,0
job search,0
ucla,0
curriculum,0
interview questions,0
yale,0



Rising searches
swine flu,Breakout
sena,+190%
computrabajo,+180%
concursos,+160%
enem,+90%
blackboard,+50%
indeed,+40%
jobsearch,+40%



