News Search interest
United States; 2012

Interest over time
Week,Jobs & Education
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+3%
2012-01-15 - 2012-01-21,+0%
2012-01-22 - 2012-01-28,+4%
2012-01-29 - 2012-02-04,+24%
2012-02-05 - 2012-02-11,+15%
2012-02-12 - 2012-02-18,+15%
2012-02-19 - 2012-02-25,+15%
2012-02-26 - 2012-03-03,+25%
2012-03-04 - 2012-03-10,+25%
2012-03-11 - 2012-03-17,+27%
2012-03-18 - 2012-03-24,+15%
2012-03-25 - 2012-03-31,+13%
2012-04-01 - 2012-04-07,+18%
2012-04-08 - 2012-04-14,+16%
2012-04-15 - 2012-04-21,+15%
2012-04-22 - 2012-04-28,+18%
2012-04-29 - 2012-05-05,+14%
2012-05-06 - 2012-05-12,+6%
2012-05-13 - 2012-05-19,+4%
2012-05-20 - 2012-05-26,+5%
2012-05-27 - 2012-06-02,-4%
2012-06-03 - 2012-06-09,-1%
2012-06-10 - 2012-06-16,-3%
2012-06-17 - 2012-06-23,-5%
2012-06-24 - 2012-06-30,-19%
2012-07-01 - 2012-07-07,-23%
2012-07-08 - 2012-07-14,-19%
2012-07-15 - 2012-07-21,-10%
2012-07-22 - 2012-07-28,-22%
2012-07-29 - 2012-08-04,-23%
2012-08-05 - 2012-08-11,-20%
2012-08-12 - 2012-08-18,-8%
2012-08-19 - 2012-08-25,+6%
2012-08-26 - 2012-09-01,+15%
2012-09-02 - 2012-09-08,+18%
2012-09-09 - 2012-09-15,+18%
2012-09-16 - 2012-09-22,+10%
2012-09-23 - 2012-09-29,+18%
2012-09-30 - 2012-10-06,+14%
2012-10-07 - 2012-10-13,+6%
2012-10-14 - 2012-10-20,+4%
2012-10-21 - 2012-10-27,-4%
2012-10-28 - 2012-11-03,-4%
2012-11-04 - 2012-11-10,-22%
2012-11-11 - 2012-11-17,-13%
2012-11-18 - 2012-11-24,-6%
2012-11-25 - 2012-12-01,+0%
2012-12-02 - 2012-12-08,-5%
2012-12-09 - 2012-12-15,-5%
2012-12-16 - 2012-12-22,+1%
2012-12-23 - 2012-12-29,-27%
2012-12-30 - 2013-01-05,-3%



Top searches
school,100
university,70
college,40
jobs,30
schools,25
education,20
notre dame,20
teacher,15
elementary,10
teachers,5
harvard,5
stanford,5
ucla,5
usc,5
rutgers,5
academy,5
nebraska,5
byu,5
arpaio,5
law school,5



Rising searches
jeremy lin,+4,050%
nanny,+950%
chicago teachers,+650%
ivy bridge,+350%
primary,+250%
sheriff joe,+190%
university of pittsburgh,+190%
joe arpaio,+180%
jobs report,+170%
arpaio,+150%



