Google Shopping interest
United States; 2012

Interest over time
Week,Shopping
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,-1%
2012-01-15 - 2012-01-21,+2%
2012-01-22 - 2012-01-28,+0%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,+6%
2012-02-12 - 2012-02-18,-1%
2012-02-19 - 2012-02-25,-2%
2012-02-26 - 2012-03-03,-1%
2012-03-04 - 2012-03-10,-1%
2012-03-11 - 2012-03-17,-2%
2012-03-18 - 2012-03-24,-1%
2012-03-25 - 2012-03-31,-5%
2012-04-01 - 2012-04-07,-3%
2012-04-08 - 2012-04-14,-6%
2012-04-15 - 2012-04-21,-1%
2012-04-22 - 2012-04-28,-6%
2012-04-29 - 2012-05-05,-6%
2012-05-06 - 2012-05-12,-5%
2012-05-13 - 2012-05-19,-6%
2012-05-20 - 2012-05-26,-6%
2012-05-27 - 2012-06-02,-6%
2012-06-03 - 2012-06-09,-6%
2012-06-10 - 2012-06-16,-5%
2012-06-17 - 2012-06-23,-5%
2012-06-24 - 2012-06-30,-1%
2012-07-01 - 2012-07-07,-5%
2012-07-08 - 2012-07-14,-2%
2012-07-15 - 2012-07-21,-3%
2012-07-22 - 2012-07-28,-6%
2012-07-29 - 2012-08-04,+0%
2012-08-05 - 2012-08-11,+1%
2012-08-12 - 2012-08-18,+0%
2012-08-19 - 2012-08-25,+0%
2012-08-26 - 2012-09-01,-2%
2012-09-02 - 2012-09-08,-2%
2012-09-09 - 2012-09-15,+5%
2012-09-16 - 2012-09-22,+3%
2012-09-23 - 2012-09-29,+8%
2012-09-30 - 2012-10-06,+8%
2012-10-07 - 2012-10-13,+13%
2012-10-14 - 2012-10-20,+11%
2012-10-21 - 2012-10-27,+7%
2012-10-28 - 2012-11-03,+2%
2012-11-04 - 2012-11-10,-1%
2012-11-11 - 2012-11-17,+2%
2012-11-18 - 2012-11-24,+8%
2012-11-25 - 2012-12-01,+14%
2012-12-02 - 2012-12-08,+10%
2012-12-09 - 2012-12-15,+15%
2012-12-16 - 2012-12-22,+15%
2012-12-23 - 2012-12-29,+10%
2012-12-30 - 2013-01-05,+3%



Top searches
shoes,100
nike,75
dress,75
boots,70
ipod,50
amazon,50
camera,45
sony,40
tv,40
ebay,35
nikon,35
xbox,35
watches,35
dresses,35
walmart,30
ipod touch,25
xbox 360,25
headphones,25
adidas,25
ps3,20



Rising searches
kindle fire,+250%
asus transformer,+200%
diamond earrings,+80%
kindle,+70%
nike free,+70%
otterbox,+70%
amazon,+60%
nikon d5100,+60%
nordstrom,+50%
flip flops,+40%



