Web Search interest
United States; Past 7 days

Interest over time
Day,Health
2014-09-11,+0%
2014-09-12,-7%
2014-09-13,-21%
2014-09-14,-21%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
walgreens,100
heart,90
weed,80
cvs,65
diabetes,55
dentist,55
blood pressure,50
ebola,50
marijuana,50
anxiety,45
depression,40
walmart,40
enterovirus,35
urgent care,35
herpes,35
5676977,35
diarrhea,30
autism,30
webmd,30
adderall,25



Rising searches
contrave,Breakout
male birth control,+1,350%
benzodiazepines,+450%
anencephaly,+400%
nfl drug policy,+200%
ketamine,+140%
enterovirus d68,+110%
5676977,+90%
bruh,+60%
cystic fibrosis,+50%



