News Search interest
United States; Past 30 days

Interest over time
Day,Books & Literature
2014-08-19,+0%
2014-08-20,-5%
2014-08-21,-3%
2014-08-22,+4%
2014-08-23,+4%
2014-08-24,+1%
2014-08-25,-4%
2014-08-26,+12%
2014-08-27,+12%
2014-08-28,-3%
2014-08-29,-3%
2014-08-30,-1%
2014-08-31,+4%
2014-09-01,-8%
2014-09-02,-9%
2014-09-03,-7%
2014-09-04,+4%
2014-09-05,+7%
2014-09-06,+0%
2014-09-07,-7%
2014-09-08,-3%
2014-09-09,+32%
2014-09-10,+11%
2014-09-11,+4%
2014-09-12,-5%
2014-09-13,+0%
2014-09-14,+5%
2014-09-15,-4%
2014-09-16,-9%
2014-09-17, 
2014-09-18, 



Top searches
quotes,100
game of thrones,65
book,45
books,40
leo tolstoy,30
pretty little liars,25
vampire diaries,15
kata kata,15
harry,15
frases,15
harry potter,15
fanfiction,10
amor,10
true detective,10
love quotes,10
poems,10



Rising searches
leo tolstoy,Breakout
poems,+50%



