Image Search interest
United States; Past 90 days

Interest over time
Day,Games
2014-06-19,+0%
2014-06-20,+0%
2014-06-21,+2%
2014-06-22,-1%
2014-06-23,-2%
2014-06-24,+1%
2014-06-25,-4%
2014-06-26,+0%
2014-06-27,-3%
2014-06-28,-3%
2014-06-29,-4%
2014-06-30,-3%
2014-07-01,-5%
2014-07-02,-4%
2014-07-03,-8%
2014-07-04,-5%
2014-07-05,-2%
2014-07-06,+1%
2014-07-07,-5%
2014-07-08,-4%
2014-07-09,-8%
2014-07-10,-4%
2014-07-11,-4%
2014-07-12,-2%
2014-07-13,-2%
2014-07-14,+0%
2014-07-15,-2%
2014-07-16,-2%
2014-07-17,-3%
2014-07-18,-5%
2014-07-19,-2%
2014-07-20,-2%
2014-07-21,-5%
2014-07-22,+0%
2014-07-23,-2%
2014-07-24,-5%
2014-07-25,+0%
2014-07-26,-1%
2014-07-27,-4%
2014-07-28,-6%
2014-07-29,-3%
2014-07-30,-4%
2014-07-31,-4%
2014-08-01,-6%
2014-08-02,-3%
2014-08-03,-1%
2014-08-04,-6%
2014-08-05,-3%
2014-08-06,+0%
2014-08-07,-3%
2014-08-08,-7%
2014-08-09,+1%
2014-08-10,+1%
2014-08-11,-1%
2014-08-12,-4%
2014-08-13,-6%
2014-08-14,-6%
2014-08-15,+0%
2014-08-16,-2%
2014-08-17,+3%
2014-08-18,-3%
2014-08-19,-4%
2014-08-20,-4%
2014-08-21,-6%
2014-08-22,-3%
2014-08-23,+0%
2014-08-24,-1%
2014-08-25,-11%
2014-08-26,-10%
2014-08-27,-8%
2014-08-28,-9%
2014-08-29,-6%
2014-08-30,-2%
2014-08-31,-2%
2014-09-01,-15%
2014-09-02,-16%
2014-09-03,-16%
2014-09-04,-13%
2014-09-05,-7%
2014-09-06,-2%
2014-09-07,-4%
2014-09-08,-11%
2014-09-09,-12%
2014-09-10,-11%
2014-09-11,-8%
2014-09-12,-7%
2014-09-13,-2%
2014-09-14,-1%
2014-09-15,-8%
2014-09-16,-12%
2014-09-17, 
2014-09-18, 



Top searches
pokemon,100
game,70
games,50
mario,50
xbox,40
coloring pages,40
gta,35
sonic,35
minecraft,30
zelda,25
halo,25
tbh,25
skyrim,25
xbox 360,20
gta 5,20
call of duty,20
ps3,15
pikachu,15
atari,15
mortal kombat,15



Rising searches
fifa 15,+550%
hyrule warriors,+300%
destiny,+250%
madden 15,+250%
mortal kombat x,+180%
sims 4,+120%
fifa,+100%
hook,+70%
silent hill,+70%
rosalina,+60%



