News Search interest
United States; Past 90 days

Interest over time
Day,Reference
2014-06-19,+0%
2014-06-20,-9%
2014-06-21,-12%
2014-06-22,-13%
2014-06-23,-17%
2014-06-24,-19%
2014-06-25,-18%
2014-06-26,-21%
2014-06-27,-18%
2014-06-28,-9%
2014-06-29,-14%
2014-06-30,-19%
2014-07-01,-17%
2014-07-02,-18%
2014-07-03,-16%
2014-07-04,-18%
2014-07-05,-16%
2014-07-06,-20%
2014-07-07,-20%
2014-07-08,-22%
2014-07-09,-24%
2014-07-10,-22%
2014-07-11,-19%
2014-07-12,-15%
2014-07-13,-22%
2014-07-14,-17%
2014-07-15,-7%
2014-07-16,-9%
2014-07-17,-5%
2014-07-18,-20%
2014-07-19,-13%
2014-07-20,-14%
2014-07-21,-20%
2014-07-22,-12%
2014-07-23,-13%
2014-07-24,-20%
2014-07-25,-19%
2014-07-26,-12%
2014-07-27,-18%
2014-07-28,-15%
2014-07-29,-13%
2014-07-30,-18%
2014-07-31,-15%
2014-08-01,-17%
2014-08-02,-15%
2014-08-03,-16%
2014-08-04,+0%
2014-08-05,+0%
2014-08-06,-15%
2014-08-07,-12%
2014-08-08,-17%
2014-08-09,-12%
2014-08-10,-18%
2014-08-11,-23%
2014-08-12,-25%
2014-08-13,-18%
2014-08-14,-16%
2014-08-15,-18%
2014-08-16,-19%
2014-08-17,-18%
2014-08-18,-19%
2014-08-19,-19%
2014-08-20,-14%
2014-08-21,-20%
2014-08-22,-9%
2014-08-23,-13%
2014-08-24,-14%
2014-08-25,-12%
2014-08-26,-14%
2014-08-27,-9%
2014-08-28,-13%
2014-08-29,-9%
2014-08-30,-20%
2014-08-31,-21%
2014-09-01,-19%
2014-09-02,-16%
2014-09-03,-15%
2014-09-04,-12%
2014-09-05,-15%
2014-09-06,-18%
2014-09-07,-18%
2014-09-08,-13%
2014-09-09,-17%
2014-09-10,-7%
2014-09-11,+5%
2014-09-12,-5%
2014-09-13,-12%
2014-09-14,-17%
2014-09-15,-9%
2014-09-16,-5%
2014-09-17, 
2014-09-18, 



Top searches
craigslist,100
google,55
maps,45
map,35
quotes,30
google maps,25
us,25
translate,20
traffic,15
georgia,15
search,15
economy,15
history,15
egypt,15
google translate,15
library,10
world war i,10
bing,10
china,10
wikipedia,10



Rising searches
world war i,+3,150%
neil armstrong,+1,650%
rising star,+900%
federal reserve system,+200%
translator,+70%
sanctions,+50%
usa,+50%
google translate,+40%
جوجل,+40%
قوقل,+40%



