News Search interest
United States; 2013

Interest over time
Week,Hobbies & Leisure
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+20%
2013-01-20 - 2013-01-26,+6%
2013-01-27 - 2013-02-02,+11%
2013-02-03 - 2013-02-09,+11%
2013-02-10 - 2013-02-16,+17%
2013-02-17 - 2013-02-23,+3%
2013-02-24 - 2013-03-02,+11%
2013-03-03 - 2013-03-09,-3%
2013-03-10 - 2013-03-16,-6%
2013-03-17 - 2013-03-23,+14%
2013-03-24 - 2013-03-30,+31%
2013-03-31 - 2013-04-06,+17%
2013-04-07 - 2013-04-13,-3%
2013-04-14 - 2013-04-20,+186%
2013-04-21 - 2013-04-27,+23%
2013-04-28 - 2013-05-04,+23%
2013-05-05 - 2013-05-11,+11%
2013-05-12 - 2013-05-18,+40%
2013-05-19 - 2013-05-25,+63%
2013-05-26 - 2013-06-01,+6%
2013-06-02 - 2013-06-08,+9%
2013-06-09 - 2013-06-15,+0%
2013-06-16 - 2013-06-22,-6%
2013-06-23 - 2013-06-29,+9%
2013-06-30 - 2013-07-06,+60%
2013-07-07 - 2013-07-13,+29%
2013-07-14 - 2013-07-20,+23%
2013-07-21 - 2013-07-27,+14%
2013-07-28 - 2013-08-03,+11%
2013-08-04 - 2013-08-10,+51%
2013-08-11 - 2013-08-17,+20%
2013-08-18 - 2013-08-24,+9%
2013-08-25 - 2013-08-31,+3%
2013-09-01 - 2013-09-07,+20%
2013-09-08 - 2013-09-14,+6%
2013-09-15 - 2013-09-21,+14%
2013-09-22 - 2013-09-28,+9%
2013-09-29 - 2013-10-05,+3%
2013-10-06 - 2013-10-12,+17%
2013-10-13 - 2013-10-19,+26%
2013-10-20 - 2013-10-26,+26%
2013-10-27 - 2013-11-02,+46%
2013-11-03 - 2013-11-09,+11%
2013-11-10 - 2013-11-16,+17%
2013-11-17 - 2013-11-23,+9%
2013-11-24 - 2013-11-30,+29%
2013-12-01 - 2013-12-07,+11%
2013-12-08 - 2013-12-14,+31%
2013-12-15 - 2013-12-21,+71%
2013-12-22 - 2013-12-28,+80%
2013-12-29 - 2014-01-04,+43%



Top searches
marathon,100
boston marathon,80
powerball,45
lottery,45
dog,45
powerball numbers,30
mega millions,30
lance armstrong,25
christmas,25
wedding,25
dogs,20
tour de france,20
lone ranger,15
cat,15
the lone ranger,15
boston marathon explosion,15
halloween,15
boeing,15
animal,10
fish,10



Rising searches
boston marathon explosion,Breakout
boston marathon,+2,750%
the lone ranger,+2,300%
lone ranger,+1,650%
hot air balloon,+1,000%
cyprus,+500%
marathon,+400%
imagenes,+250%
tour de france,+80%
winning powerball numbers,+70%



