Web Search interest
United States; 2007

Interest over time
Week,Computers & Electronics
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-2%
2007-01-21 - 2007-01-27,-1%
2007-01-28 - 2007-02-03,-1%
2007-02-04 - 2007-02-10,-2%
2007-02-11 - 2007-02-17,-3%
2007-02-18 - 2007-02-24,-2%
2007-02-25 - 2007-03-03,-5%
2007-03-04 - 2007-03-10,-2%
2007-03-11 - 2007-03-17,-7%
2007-03-18 - 2007-03-24,-7%
2007-03-25 - 2007-03-31,-8%
2007-04-01 - 2007-04-07,-8%
2007-04-08 - 2007-04-14,-8%
2007-04-15 - 2007-04-21,-10%
2007-04-22 - 2007-04-28,-9%
2007-04-29 - 2007-05-05,-11%
2007-05-06 - 2007-05-12,-5%
2007-05-13 - 2007-05-19,-10%
2007-05-20 - 2007-05-26,-9%
2007-05-27 - 2007-06-02,-9%
2007-06-03 - 2007-06-09,-5%
2007-06-10 - 2007-06-16,-4%
2007-06-17 - 2007-06-23,-3%
2007-06-24 - 2007-06-30,-10%
2007-07-01 - 2007-07-07,-9%
2007-07-08 - 2007-07-14,-4%
2007-07-15 - 2007-07-21,-9%
2007-07-22 - 2007-07-28,-7%
2007-07-29 - 2007-08-04,-8%
2007-08-05 - 2007-08-11,-5%
2007-08-12 - 2007-08-18,-5%
2007-08-19 - 2007-08-25,-4%
2007-08-26 - 2007-09-01,-4%
2007-09-02 - 2007-09-08,-4%
2007-09-09 - 2007-09-15,-7%
2007-09-16 - 2007-09-22,-8%
2007-09-23 - 2007-09-29,-8%
2007-09-30 - 2007-10-06,-8%
2007-10-07 - 2007-10-13,-11%
2007-10-14 - 2007-10-20,-8%
2007-10-21 - 2007-10-27,-10%
2007-10-28 - 2007-11-03,-4%
2007-11-04 - 2007-11-10,-3%
2007-11-11 - 2007-11-17,-4%
2007-11-18 - 2007-11-24,+5%
2007-11-25 - 2007-12-01,+4%
2007-12-02 - 2007-12-08,+1%
2007-12-09 - 2007-12-15,-2%
2007-12-16 - 2007-12-22,-1%
2007-12-23 - 2007-12-29,+9%
2007-12-30 - 2008-01-05,-1%



Top searches
free,100
mac,55
hp,55
microsoft,50
vista,45
dell,45
ipod,45
sony,45
apple,35
xbox,35
canon,30
linux,30
adobe,30
firefox,30
java,30
google,25
itunes,20
xbox 360,20
psp,20
windows xp,20



Rising searches
vista,+250%
windows vista,+140%
zune,+110%
300,+100%
ubuntu,+90%
wii,+70%
garmin,+60%
acer,+50%
vmware,+50%
amazon,+40%



