News Search interest
United States; 2011

Interest over time
Week,Shopping
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-12%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,+0%
2011-01-30 - 2011-02-05,-10%
2011-02-06 - 2011-02-12,+0%
2011-02-13 - 2011-02-19,+4%
2011-02-20 - 2011-02-26,-2%
2011-02-27 - 2011-03-05,+2%
2011-03-06 - 2011-03-12,-12%
2011-03-13 - 2011-03-19,-10%
2011-03-20 - 2011-03-26,-2%
2011-03-27 - 2011-04-02,+4%
2011-04-03 - 2011-04-09,-6%
2011-04-10 - 2011-04-16,+0%
2011-04-17 - 2011-04-23,+23%
2011-04-24 - 2011-04-30,+52%
2011-05-01 - 2011-05-07,+40%
2011-05-08 - 2011-05-14,+42%
2011-05-15 - 2011-05-21,+17%
2011-05-22 - 2011-05-28,+6%
2011-05-29 - 2011-06-04,+15%
2011-06-05 - 2011-06-11,+8%
2011-06-12 - 2011-06-18,-4%
2011-06-19 - 2011-06-25,-4%
2011-06-26 - 2011-07-02,+0%
2011-07-03 - 2011-07-09,-2%
2011-07-10 - 2011-07-16,+12%
2011-07-17 - 2011-07-23,+12%
2011-07-24 - 2011-07-30,-2%
2011-07-31 - 2011-08-06,-2%
2011-08-07 - 2011-08-13,-2%
2011-08-14 - 2011-08-20,+4%
2011-08-21 - 2011-08-27,-13%
2011-08-28 - 2011-09-03,-10%
2011-09-04 - 2011-09-10,+4%
2011-09-11 - 2011-09-17,+6%
2011-09-18 - 2011-09-24,+12%
2011-09-25 - 2011-10-01,+29%
2011-10-02 - 2011-10-08,+2%
2011-10-09 - 2011-10-15,+15%
2011-10-16 - 2011-10-22,+13%
2011-10-23 - 2011-10-29,+17%
2011-10-30 - 2011-11-05,+10%
2011-11-06 - 2011-11-12,+8%
2011-11-13 - 2011-11-19,+21%
2011-11-20 - 2011-11-26,+92%
2011-11-27 - 2011-12-03,+42%
2011-12-04 - 2011-12-10,+12%
2011-12-11 - 2011-12-17,+17%
2011-12-18 - 2011-12-24,+23%
2011-12-25 - 2011-12-31,+54%



Top searches
playstation,100
netflix,100
netflix netflix,100
xbox,90
ps3,85
kindle,65
amazon,60
amazon amazon,60
black friday,55
playstation network,55
ipad,55
walmart,50
psn,50
sony,45
apple,45
ipod,40
xbox 360,35
best buy,35
kindle fire,35
nintendo,35



Rising searches
black friday 2011,Breakout
kindle fire,Breakout
lockout,+2,300%
ipad 2,+2,200%
playstation network,+750%
psn,+750%
black friday,+200%
borders,+200%
best buy,+100%
playstation,+100%



