Web Search interest
United States; Past 7 days

Interest over time
Day,Books & Literature
2014-09-11,+0%
2014-09-12,-7%
2014-09-13,-19%
2014-09-14,-9%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
quotes,100
book,35
books,30
fanfiction,10
sparknotes,10
citation,10
mla,10
love quotes,10
poems,10
game of thrones,5
harry potter,5
life quotes,5
mla format,5
frases,5
fanfic,5
inspirational quotes,5
amazon books,5
funny quotes,5
barnes and noble,5
analysis,5



Rising searches
911 quotes,Breakout
9/11 quotes,+2,200%
atlas shrugged,+150%
matilda,+90%
teddy roosevelt,+80%
vogue,+60%
amazon kindle books,+40%
gone girl book,+40%
kahoot it,+40%
sam hunt,+40%



