News Search interest
United States; 2013

Interest over time
Week,Autos & Vehicles
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+45%
2013-01-20 - 2013-01-26,+7%
2013-01-27 - 2013-02-02,+3%
2013-02-03 - 2013-02-09,-12%
2013-02-10 - 2013-02-16,-4%
2013-02-17 - 2013-02-23,-1%
2013-02-24 - 2013-03-02,+3%
2013-03-03 - 2013-03-09,+12%
2013-03-10 - 2013-03-16,+4%
2013-03-17 - 2013-03-23,-4%
2013-03-24 - 2013-03-30,+6%
2013-03-31 - 2013-04-06,+16%
2013-04-07 - 2013-04-13,+1%
2013-04-14 - 2013-04-20,-14%
2013-04-21 - 2013-04-27,+4%
2013-04-28 - 2013-05-04,+7%
2013-05-05 - 2013-05-11,-3%
2013-05-12 - 2013-05-18,+1%
2013-05-19 - 2013-05-25,-13%
2013-05-26 - 2013-06-01,+3%
2013-06-02 - 2013-06-08,-4%
2013-06-09 - 2013-06-15,-10%
2013-06-16 - 2013-06-22,-7%
2013-06-23 - 2013-06-29,-6%
2013-06-30 - 2013-07-06,-1%
2013-07-07 - 2013-07-13,-3%
2013-07-14 - 2013-07-20,-4%
2013-07-21 - 2013-07-27,+6%
2013-07-28 - 2013-08-03,+13%
2013-08-04 - 2013-08-10,+20%
2013-08-11 - 2013-08-17,+13%
2013-08-18 - 2013-08-24,+14%
2013-08-25 - 2013-08-31,+19%
2013-09-01 - 2013-09-07,+12%
2013-09-08 - 2013-09-14,+16%
2013-09-15 - 2013-09-21,+3%
2013-09-22 - 2013-09-28,+6%
2013-09-29 - 2013-10-05,+36%
2013-10-06 - 2013-10-12,+13%
2013-10-13 - 2013-10-19,+6%
2013-10-20 - 2013-10-26,+4%
2013-10-27 - 2013-11-02,+3%
2013-11-03 - 2013-11-09,+13%
2013-11-10 - 2013-11-16,+1%
2013-11-17 - 2013-11-23,+10%
2013-11-24 - 2013-11-30,-4%
2013-12-01 - 2013-12-07,+30%
2013-12-08 - 2013-12-14,+3%
2013-12-15 - 2013-12-21,-3%
2013-12-22 - 2013-12-28,+4%
2013-12-29 - 2014-01-04,-1%



Top searches
ford,100
car,70
tesla,55
honda,50
toyota,50
tesla motors,50
cars,50
chevy,35
bmw,35
nissan,35
detroit,35
motorcycle,30
jeep,25
dodge,25
detroit auto show,25
chevrolet,25
corvette,25
subaru,25
boeing,25
audi,20



Rising searches
ford mustangs,Breakout
iphone 5c,Breakout
tesla motors,+600%
detroit auto show,+500%
tesla,+450%
detroit,+300%
corvette,+200%
ford motor company,+140%
ford motor,+90%
suv,+70%



