Web Search interest
United States; 2006

Interest over time
Week,Business & Industrial
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,+7%
2006-01-15 - 2006-01-21,+9%
2006-01-22 - 2006-01-28,+9%
2006-01-29 - 2006-02-04,+8%
2006-02-05 - 2006-02-11,+5%
2006-02-12 - 2006-02-18,+2%
2006-02-19 - 2006-02-25,+3%
2006-02-26 - 2006-03-04,+8%
2006-03-05 - 2006-03-11,+10%
2006-03-12 - 2006-03-18,+8%
2006-03-19 - 2006-03-25,+7%
2006-03-26 - 2006-04-01,+5%
2006-04-02 - 2006-04-08,+7%
2006-04-09 - 2006-04-15,+4%
2006-04-16 - 2006-04-22,+7%
2006-04-23 - 2006-04-29,+9%
2006-04-30 - 2006-05-06,+4%
2006-05-07 - 2006-05-13,+5%
2006-05-14 - 2006-05-20,+3%
2006-05-21 - 2006-05-27,+4%
2006-05-28 - 2006-06-03,+2%
2006-06-04 - 2006-06-10,+4%
2006-06-11 - 2006-06-17,+3%
2006-06-18 - 2006-06-24,+4%
2006-06-25 - 2006-07-01,+5%
2006-07-02 - 2006-07-08,+0%
2006-07-09 - 2006-07-15,+4%
2006-07-16 - 2006-07-22,+8%
2006-07-23 - 2006-07-29,+5%
2006-07-30 - 2006-08-05,+7%
2006-08-06 - 2006-08-12,+4%
2006-08-13 - 2006-08-19,+4%
2006-08-20 - 2006-08-26,+4%
2006-08-27 - 2006-09-02,+4%
2006-09-03 - 2006-09-09,+0%
2006-09-10 - 2006-09-16,+2%
2006-09-17 - 2006-09-23,+4%
2006-09-24 - 2006-09-30,+4%
2006-10-01 - 2006-10-07,+2%
2006-10-08 - 2006-10-14,+5%
2006-10-15 - 2006-10-21,+1%
2006-10-22 - 2006-10-28,+0%
2006-10-29 - 2006-11-04,+1%
2006-11-05 - 2006-11-11,-1%
2006-11-12 - 2006-11-18,-1%
2006-11-19 - 2006-11-25,-12%
2006-11-26 - 2006-12-02,-3%
2006-12-03 - 2006-12-09,-1%
2006-12-10 - 2006-12-16,-2%
2006-12-17 - 2006-12-23,-7%
2006-12-24 - 2006-12-30,-18%
2006-12-31 - 2007-01-06,-5%



Top searches
new,100
ups,85
usps,65
construction,45
oil,45
fedex,40
post office,35
staples,30
office depot,30
paypal,30
sql,30
space,25
fabric,25
doors,25
google,25
postal service,20
mysql,20
oracle,20
shuttle,20
dhl,20



Rising searches
google checkout,Breakout
fa,+250%
ethanol,+140%
aapl,+70%
google,+60%
postal rates,+60%
cr,+50%
usps tracking,+50%
adsense,+40%
dhl tracking,+40%



