Web Search interest
United States; 2006

Interest over time
Week,Internet & Telecom
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-4%
2006-01-15 - 2006-01-21,-6%
2006-01-22 - 2006-01-28,-3%
2006-01-29 - 2006-02-04,-2%
2006-02-05 - 2006-02-11,-5%
2006-02-12 - 2006-02-18,-7%
2006-02-19 - 2006-02-25,-6%
2006-02-26 - 2006-03-04,-5%
2006-03-05 - 2006-03-11,-7%
2006-03-12 - 2006-03-18,-7%
2006-03-19 - 2006-03-25,-7%
2006-03-26 - 2006-04-01,-8%
2006-04-02 - 2006-04-08,-7%
2006-04-09 - 2006-04-15,-9%
2006-04-16 - 2006-04-22,-10%
2006-04-23 - 2006-04-29,-9%
2006-04-30 - 2006-05-06,-8%
2006-05-07 - 2006-05-13,-9%
2006-05-14 - 2006-05-20,-6%
2006-05-21 - 2006-05-27,-7%
2006-05-28 - 2006-06-03,-4%
2006-06-04 - 2006-06-10,-3%
2006-06-11 - 2006-06-17,-4%
2006-06-18 - 2006-06-24,-1%
2006-06-25 - 2006-07-01,-1%
2006-07-02 - 2006-07-08,-1%
2006-07-09 - 2006-07-15,-3%
2006-07-16 - 2006-07-22,-4%
2006-07-23 - 2006-07-29,+2%
2006-07-30 - 2006-08-05,+0%
2006-08-06 - 2006-08-12,-2%
2006-08-13 - 2006-08-19,-2%
2006-08-20 - 2006-08-26,-2%
2006-08-27 - 2006-09-02,-1%
2006-09-03 - 2006-09-09,-3%
2006-09-10 - 2006-09-16,-2%
2006-09-17 - 2006-09-23,-6%
2006-09-24 - 2006-09-30,-6%
2006-10-01 - 2006-10-07,-8%
2006-10-08 - 2006-10-14,-5%
2006-10-15 - 2006-10-21,-6%
2006-10-22 - 2006-10-28,-6%
2006-10-29 - 2006-11-04,-6%
2006-11-05 - 2006-11-11,-8%
2006-11-12 - 2006-11-18,-5%
2006-11-19 - 2006-11-25,-4%
2006-11-26 - 2006-12-02,-5%
2006-12-03 - 2006-12-09,-6%
2006-12-10 - 2006-12-16,-6%
2006-12-17 - 2006-12-23,+0%
2006-12-24 - 2006-12-30,+3%
2006-12-31 - 2007-01-06,-5%



Top searches
verizon,100
yahoo,100
mail,95
msn,85
aol,60
google,60
cingular,60
aim,50
mail yahoo,45
motorola,40
email,40
web,35
sprint,35
cell phone,35
ask,30
comcast,30
verizon wireless,30
messenger,30
ringtones,25
nokia,25



Rising searches
motorola q,+800%
treo 700,+180%
myspace codes,+150%
metro pcs,+60%
palm treo,+60%
yahoomail,+60%
goog,+50%
mail yahoo,+50%
razr,+50%
godaddy,+40%



