Web Search interest
United States; 2008

Interest over time
Week,Science
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+6%
2008-01-20 - 2008-01-26,+4%
2008-01-27 - 2008-02-02,+10%
2008-02-03 - 2008-02-09,+10%
2008-02-10 - 2008-02-16,+11%
2008-02-17 - 2008-02-23,+22%
2008-02-24 - 2008-03-01,+15%
2008-03-02 - 2008-03-08,+13%
2008-03-09 - 2008-03-15,+11%
2008-03-16 - 2008-03-22,+0%
2008-03-23 - 2008-03-29,+3%
2008-03-30 - 2008-04-05,+11%
2008-04-06 - 2008-04-12,+14%
2008-04-13 - 2008-04-19,+18%
2008-04-20 - 2008-04-26,+24%
2008-04-27 - 2008-05-03,+15%
2008-05-04 - 2008-05-10,+14%
2008-05-11 - 2008-05-17,+10%
2008-05-18 - 2008-05-24,+3%
2008-05-25 - 2008-05-31,+0%
2008-06-01 - 2008-06-07,-3%
2008-06-08 - 2008-06-14,-8%
2008-06-15 - 2008-06-21,-12%
2008-06-22 - 2008-06-28,-17%
2008-06-29 - 2008-07-05,-19%
2008-07-06 - 2008-07-12,-18%
2008-07-13 - 2008-07-19,-15%
2008-07-20 - 2008-07-26,-18%
2008-07-27 - 2008-08-02,-17%
2008-08-03 - 2008-08-09,-19%
2008-08-10 - 2008-08-16,-18%
2008-08-17 - 2008-08-23,-18%
2008-08-24 - 2008-08-30,-4%
2008-08-31 - 2008-09-06,+4%
2008-09-07 - 2008-09-13,+39%
2008-09-14 - 2008-09-20,+19%
2008-09-21 - 2008-09-27,+21%
2008-09-28 - 2008-10-04,+17%
2008-10-05 - 2008-10-11,+17%
2008-10-12 - 2008-10-18,+14%
2008-10-19 - 2008-10-25,+18%
2008-10-26 - 2008-11-01,+14%
2008-11-02 - 2008-11-08,+10%
2008-11-09 - 2008-11-15,+14%
2008-11-16 - 2008-11-22,+17%
2008-11-23 - 2008-11-29,-7%
2008-11-30 - 2008-12-06,+14%
2008-12-07 - 2008-12-13,+13%
2008-12-14 - 2008-12-20,-4%
2008-12-21 - 2008-12-27,-43%
2008-12-28 - 2009-01-03,-39%



Top searches
math,100
science,100
chemistry,35
periodic table,30
physics,30
animals,30
dna,25
global warming,25
brain,25
acid,25
algebra,25
ocean,20
help,20
hadron collider,15
fractions,15
autocad,15
science projects,15
national geographic,15
large hadron collider,15
protein,15



Rising searches
hadron collider,Breakout
large hadron collider,Breakout
lhc,+1,050%
instinct,+800%
rule 34,+400%
cern,+250%
jquery,+200%
agua,+170%
big bang theory,+100%
study island,+90%



