News Search interest
United States; Past 30 days

Interest over time
Day,Internet & Telecom
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,+0%
2014-08-22,-3%
2014-08-23,-6%
2014-08-24,-9%
2014-08-25,-16%
2014-08-26,-9%
2014-08-27,+6%
2014-08-28,+0%
2014-08-29,+19%
2014-08-30,+6%
2014-08-31,+3%
2014-09-01,-9%
2014-09-02,-12%
2014-09-03,+9%
2014-09-04,+22%
2014-09-05,+13%
2014-09-06,+13%
2014-09-07,+6%
2014-09-08,+28%
2014-09-09,+213%
2014-09-10,+122%
2014-09-11,+81%
2014-09-12,+100%
2014-09-13,+44%
2014-09-14,+22%
2014-09-15,+50%
2014-09-16,+38%
2014-09-17, 
2014-09-18, 



Top searches
iphone,100
iphone 6,50
google,25
samsung,10
verizon,5
android,5
mail,5
apple,5
phone,5
yahoo,5
sprint,5
iphone 6 release,5
yahoo mail,5
apple iphone,5
samsung group,5
at&t,5
htc,5
apple iphone 6,5
twitter,5
iphone 6 plus,5



Rising searches
iphone 6 plus,Breakout
iphone 6 price,+550%
apple iphone 6,+350%
apple iphone,+200%
verizon iphone,+190%
note 4,+160%
iphone 6,+140%
new iphone,+140%
iphone 5,+130%
iphone,+120%



