News Search interest
United States; 2009

Interest over time
Week,People & Society
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-6%
2009-01-18 - 2009-01-24,-14%
2009-01-25 - 2009-01-31,+45%
2009-02-01 - 2009-02-07,+8%
2009-02-08 - 2009-02-14,+17%
2009-02-15 - 2009-02-21,+15%
2009-02-22 - 2009-02-28,+9%
2009-03-01 - 2009-03-07,+20%
2009-03-08 - 2009-03-14,+23%
2009-03-15 - 2009-03-21,-9%
2009-03-22 - 2009-03-28,+12%
2009-03-29 - 2009-04-04,+17%
2009-04-05 - 2009-04-11,+9%
2009-04-12 - 2009-04-18,+8%
2009-04-19 - 2009-04-25,+9%
2009-04-26 - 2009-05-02,-17%
2009-05-03 - 2009-05-09,-11%
2009-05-10 - 2009-05-16,+5%
2009-05-17 - 2009-05-23,+3%
2009-05-24 - 2009-05-30,+11%
2009-05-31 - 2009-06-06,+5%
2009-06-07 - 2009-06-13,+17%
2009-06-14 - 2009-06-20,+12%
2009-06-21 - 2009-06-27,+12%
2009-06-28 - 2009-07-04,+28%
2009-07-05 - 2009-07-11,+18%
2009-07-12 - 2009-07-18,+45%
2009-07-19 - 2009-07-25,+54%
2009-07-26 - 2009-08-01,+34%
2009-08-02 - 2009-08-08,+14%
2009-08-09 - 2009-08-15,+12%
2009-08-16 - 2009-08-22,+25%
2009-08-23 - 2009-08-29,+11%
2009-08-30 - 2009-09-05,+29%
2009-09-06 - 2009-09-12,+14%
2009-09-13 - 2009-09-19,+6%
2009-09-20 - 2009-09-26,+34%
2009-09-27 - 2009-10-03,+18%
2009-10-04 - 2009-10-10,+22%
2009-10-11 - 2009-10-17,+38%
2009-10-18 - 2009-10-24,+17%
2009-10-25 - 2009-10-31,+26%
2009-11-01 - 2009-11-07,+18%
2009-11-08 - 2009-11-14,+28%
2009-11-15 - 2009-11-21,+17%
2009-11-22 - 2009-11-28,+14%
2009-11-29 - 2009-12-05,+15%
2009-12-06 - 2009-12-12,+28%
2009-12-13 - 2009-12-19,+26%
2009-12-20 - 2009-12-26,+29%
2009-12-27 - 2010-01-02,+12%



Top searches
health care,100
india,90
marriage,75
news,70
harry potter,70
obama,65
global warming,55
octuplets,55
economy,50
baby,50
honduras,50
us,45
ufo,40
wedding,35
immigration,30
healthcare,30
pregnant,30
unemployment rate,25
climate change,25
abortion,25



Rising searches
octuplets,Breakout
health reform,+2,150%
honduras,+600%
healthcare,+350%
north korea,+350%
health care,+250%
2012,+160%
iran,+140%
ethiopia,+130%
unemployment rate,+120%



