Web Search interest
United States; 2006

Interest over time
Week,Games
2006-01-01 - 2006-01-07,+0%
2006-01-08 - 2006-01-14,-9%
2006-01-15 - 2006-01-21,-7%
2006-01-22 - 2006-01-28,-9%
2006-01-29 - 2006-02-04,-9%
2006-02-05 - 2006-02-11,-12%
2006-02-12 - 2006-02-18,-8%
2006-02-19 - 2006-02-25,+1%
2006-02-26 - 2006-03-04,-7%
2006-03-05 - 2006-03-11,-11%
2006-03-12 - 2006-03-18,-9%
2006-03-19 - 2006-03-25,-7%
2006-03-26 - 2006-04-01,-7%
2006-04-02 - 2006-04-08,-5%
2006-04-09 - 2006-04-15,-3%
2006-04-16 - 2006-04-22,-5%
2006-04-23 - 2006-04-29,-9%
2006-04-30 - 2006-05-06,-11%
2006-05-07 - 2006-05-13,-1%
2006-05-14 - 2006-05-20,-3%
2006-05-21 - 2006-05-27,-4%
2006-05-28 - 2006-06-03,+0%
2006-06-04 - 2006-06-10,-4%
2006-06-11 - 2006-06-17,-3%
2006-06-18 - 2006-06-24,+1%
2006-06-25 - 2006-07-01,-3%
2006-07-02 - 2006-07-08,+5%
2006-07-09 - 2006-07-15,-3%
2006-07-16 - 2006-07-22,-1%
2006-07-23 - 2006-07-29,+3%
2006-07-30 - 2006-08-05,-1%
2006-08-06 - 2006-08-12,-3%
2006-08-13 - 2006-08-19,-5%
2006-08-20 - 2006-08-26,-8%
2006-08-27 - 2006-09-02,-7%
2006-09-03 - 2006-09-09,-7%
2006-09-10 - 2006-09-16,-9%
2006-09-17 - 2006-09-23,-11%
2006-09-24 - 2006-09-30,-9%
2006-10-01 - 2006-10-07,-5%
2006-10-08 - 2006-10-14,-8%
2006-10-15 - 2006-10-21,-4%
2006-10-22 - 2006-10-28,-7%
2006-10-29 - 2006-11-04,-3%
2006-11-05 - 2006-11-11,+1%
2006-11-12 - 2006-11-18,+12%
2006-11-19 - 2006-11-25,+30%
2006-11-26 - 2006-12-02,+5%
2006-12-03 - 2006-12-09,+9%
2006-12-10 - 2006-12-16,+8%
2006-12-17 - 2006-12-23,+22%
2006-12-24 - 2006-12-30,+32%
2006-12-31 - 2007-01-06,+12%



Top searches
games,100
game,50
cheats,40
lottery,20
xbox,20
wow,20
free games,20
warcraft,15
runescape,15
online games,15
world of warcraft,10
poker,10
psp,10
sudoku,10
nintendo,10
wii,10
xbox 360,10
cheat codes,10
pokemon,10
playstation,10



Rising searches
nintendo wii,Breakout
wii,Breakout
oblivion,+900%
sudoku,+130%
heroes,+90%
kingdom hearts,+80%
wow,+80%
ps3,+70%
nintendo,+60%
addicting,+50%



