Image Search interest
United States; 2010

Interest over time
Week,Business & Industrial
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+6%
2010-01-17 - 2010-01-23,+5%
2010-01-24 - 2010-01-30,+6%
2010-01-31 - 2010-02-06,+12%
2010-02-07 - 2010-02-13,+4%
2010-02-14 - 2010-02-20,+7%
2010-02-21 - 2010-02-27,+10%
2010-02-28 - 2010-03-06,+10%
2010-03-07 - 2010-03-13,+16%
2010-03-14 - 2010-03-20,+10%
2010-03-21 - 2010-03-27,+15%
2010-03-28 - 2010-04-03,+10%
2010-04-04 - 2010-04-10,+15%
2010-04-11 - 2010-04-17,+21%
2010-04-18 - 2010-04-24,+23%
2010-04-25 - 2010-05-01,+22%
2010-05-02 - 2010-05-08,+15%
2010-05-09 - 2010-05-15,+15%
2010-05-16 - 2010-05-22,+14%
2010-05-23 - 2010-05-29,+14%
2010-05-30 - 2010-06-05,+10%
2010-06-06 - 2010-06-12,+9%
2010-06-13 - 2010-06-19,+2%
2010-06-20 - 2010-06-26,+1%
2010-06-27 - 2010-07-03,-1%
2010-07-04 - 2010-07-10,-14%
2010-07-11 - 2010-07-17,-7%
2010-07-18 - 2010-07-24,-5%
2010-07-25 - 2010-07-31,-9%
2010-08-01 - 2010-08-07,-10%
2010-08-08 - 2010-08-14,-9%
2010-08-15 - 2010-08-21,-6%
2010-08-22 - 2010-08-28,-4%
2010-08-29 - 2010-09-04,-1%
2010-09-05 - 2010-09-11,-1%
2010-09-12 - 2010-09-18,+4%
2010-09-19 - 2010-09-25,+4%
2010-09-26 - 2010-10-02,+4%
2010-10-03 - 2010-10-09,+5%
2010-10-10 - 2010-10-16,+1%
2010-10-17 - 2010-10-23,+5%
2010-10-24 - 2010-10-30,+0%
2010-10-31 - 2010-11-06,-5%
2010-11-07 - 2010-11-13,+9%
2010-11-14 - 2010-11-20,+7%
2010-11-21 - 2010-11-27,-7%
2010-11-28 - 2010-12-04,-2%
2010-12-05 - 2010-12-11,-1%
2010-12-12 - 2010-12-18,-7%
2010-12-19 - 2010-12-25,-21%
2010-12-26 - 2011-01-01,-25%



Top searches
tree,100
water,65
paper,45
space,45
trees,45
signs,40
business,40
oil,40
wood,35
cow,35
energy,30
car,30
farm,30
door,30
forest,25
bridge,25
plants,25
gas,25
fabric,25
construction,25



Rising searches
bp oil spill,Breakout
oil spill,+3,450%
bp,+750%
aaron johnson,+550%
zoe saldana,+350%
avatar,+180%
oil,+60%
michelle rodriguez,+50%
reciclaje,+40%



