News Search interest
United States; Past 90 days

Interest over time
Day,Science
2014-06-19,+0%
2014-06-20,-2%
2014-06-21,+2%
2014-06-22,-10%
2014-06-23,+21%
2014-06-24,+31%
2014-06-25,+13%
2014-06-26,+2%
2014-06-27,-2%
2014-06-28,-6%
2014-06-29,-12%
2014-06-30,+0%
2014-07-01,+8%
2014-07-02,+54%
2014-07-03,+58%
2014-07-04,+29%
2014-07-05,+27%
2014-07-06,+25%
2014-07-07,+4%
2014-07-08,+4%
2014-07-09,-6%
2014-07-10,+2%
2014-07-11,+17%
2014-07-12,+2%
2014-07-13,+10%
2014-07-14,+19%
2014-07-15,+15%
2014-07-16,+10%
2014-07-17,+0%
2014-07-18,+0%
2014-07-19,-8%
2014-07-20,-2%
2014-07-21,+10%
2014-07-22,+6%
2014-07-23,+2%
2014-07-24,+4%
2014-07-25,+15%
2014-07-26,+6%
2014-07-27,+4%
2014-07-28,+13%
2014-07-29,+15%
2014-07-30,+8%
2014-07-31,+10%
2014-08-01,+2%
2014-08-02,-2%
2014-08-03,+10%
2014-08-04,+90%
2014-08-05,+19%
2014-08-06,+31%
2014-08-07,+52%
2014-08-08,+19%
2014-08-09,+6%
2014-08-10,+6%
2014-08-11,+17%
2014-08-12,+81%
2014-08-13,+50%
2014-08-14,+8%
2014-08-15,+10%
2014-08-16,-6%
2014-08-17,+2%
2014-08-18,+21%
2014-08-19,+10%
2014-08-20,+17%
2014-08-21,+19%
2014-08-22,+25%
2014-08-23,+6%
2014-08-24,+27%
2014-08-25,+40%
2014-08-26,+29%
2014-08-27,+27%
2014-08-28,+23%
2014-08-29,+23%
2014-08-30,+0%
2014-08-31,+6%
2014-09-01,+13%
2014-09-02,+21%
2014-09-03,+23%
2014-09-04,+15%
2014-09-05,+19%
2014-09-06,+6%
2014-09-07,+4%
2014-09-08,+38%
2014-09-09,+48%
2014-09-10,+31%
2014-09-11,+67%
2014-09-12,+83%
2014-09-13,+108%
2014-09-14,+31%
2014-09-15,+50%
2014-09-16,+40%
2014-09-17, 
2014-09-18, 



Top searches
tropical cyclones,100
climate change,55
meteor,50
meteor shower,45
science,45
global warming,40
moon,35
perseid,30
yellowstone,30
perseid meteor shower,30
robots,30
big bang,25
big bang theory,25
nasa,20
nebraska,20
solar flare,20
drone,20
ocean,20
northern lights,20
quantum,20



Rising searches
perseid,Breakout
perseid meteor shower,Breakout
tropical cyclones,+4,700%
northern lights,+1,350%
cloud computing,+300%
solar flare,+250%
hawking,+160%
cloud,+120%
quantum,+80%
big bang theory,+70%



