Image Search interest
United States; 2010

Interest over time
Week,Jobs & Education
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,+4%
2010-01-17 - 2010-01-23,+1%
2010-01-24 - 2010-01-30,+5%
2010-01-31 - 2010-02-06,+1%
2010-02-07 - 2010-02-13,+0%
2010-02-14 - 2010-02-20,+1%
2010-02-21 - 2010-02-27,+10%
2010-02-28 - 2010-03-06,+11%
2010-03-07 - 2010-03-13,+7%
2010-03-14 - 2010-03-20,+6%
2010-03-21 - 2010-03-27,+11%
2010-03-28 - 2010-04-03,+4%
2010-04-04 - 2010-04-10,+9%
2010-04-11 - 2010-04-17,+15%
2010-04-18 - 2010-04-24,+17%
2010-04-25 - 2010-05-01,+17%
2010-05-02 - 2010-05-08,+16%
2010-05-09 - 2010-05-15,+11%
2010-05-16 - 2010-05-22,+11%
2010-05-23 - 2010-05-29,+7%
2010-05-30 - 2010-06-05,+4%
2010-06-06 - 2010-06-12,+2%
2010-06-13 - 2010-06-19,-1%
2010-06-20 - 2010-06-26,-6%
2010-06-27 - 2010-07-03,-15%
2010-07-04 - 2010-07-10,-22%
2010-07-11 - 2010-07-17,-20%
2010-07-18 - 2010-07-24,-17%
2010-07-25 - 2010-07-31,-15%
2010-08-01 - 2010-08-07,-9%
2010-08-08 - 2010-08-14,-5%
2010-08-15 - 2010-08-21,+7%
2010-08-22 - 2010-08-28,+15%
2010-08-29 - 2010-09-04,+22%
2010-09-05 - 2010-09-11,+18%
2010-09-12 - 2010-09-18,+16%
2010-09-19 - 2010-09-25,+18%
2010-09-26 - 2010-10-02,+13%
2010-10-03 - 2010-10-09,+17%
2010-10-10 - 2010-10-16,+11%
2010-10-17 - 2010-10-23,+7%
2010-10-24 - 2010-10-30,+1%
2010-10-31 - 2010-11-06,-2%
2010-11-07 - 2010-11-13,+7%
2010-11-14 - 2010-11-20,+10%
2010-11-21 - 2010-11-27,-6%
2010-11-28 - 2010-12-04,+9%
2010-12-05 - 2010-12-11,+2%
2010-12-12 - 2010-12-18,-2%
2010-12-19 - 2010-12-25,-26%
2010-12-26 - 2011-01-01,-33%



Top searches
school,100
university,75
high,55
high school,50
college,40
campus,20
resume,15
football,15
teacher,15
middle school,10
students,10
alphabet,10
classroom,10
education,10
schools,10
job,5
teachers,5
computer,5
jobs,5
math,5



Rising searches
monster high,Breakout
resume templates,+140%
bulletin board ideas,+90%
calligraphy alphabet,+70%
unam,+70%
yurt,+70%
cover letter examples,+50%
barnes and noble,+40%
comunicacion,+40%
figuras geometricas,+40%



