News Search interest
United States; 2010

Interest over time
Week,Autos & Vehicles
2010-01-03 - 2010-01-09,+0%
2010-01-10 - 2010-01-16,-9%
2010-01-17 - 2010-01-23,-14%
2010-01-24 - 2010-01-30,+30%
2010-01-31 - 2010-02-06,+20%
2010-02-07 - 2010-02-13,+6%
2010-02-14 - 2010-02-20,+2%
2010-02-21 - 2010-02-27,-8%
2010-02-28 - 2010-03-06,-11%
2010-03-07 - 2010-03-13,+5%
2010-03-14 - 2010-03-20,-5%
2010-03-21 - 2010-03-27,-12%
2010-03-28 - 2010-04-03,-3%
2010-04-04 - 2010-04-10,-15%
2010-04-11 - 2010-04-17,+0%
2010-04-18 - 2010-04-24,-20%
2010-04-25 - 2010-05-01,-20%
2010-05-02 - 2010-05-08,-18%
2010-05-09 - 2010-05-15,-8%
2010-05-16 - 2010-05-22,-8%
2010-05-23 - 2010-05-29,-21%
2010-05-30 - 2010-06-05,-17%
2010-06-06 - 2010-06-12,+3%
2010-06-13 - 2010-06-19,+14%
2010-06-20 - 2010-06-26,-2%
2010-06-27 - 2010-07-03,+38%
2010-07-04 - 2010-07-10,-9%
2010-07-11 - 2010-07-17,+52%
2010-07-18 - 2010-07-24,+17%
2010-07-25 - 2010-07-31,+38%
2010-08-01 - 2010-08-07,+39%
2010-08-08 - 2010-08-14,+3%
2010-08-15 - 2010-08-21,-6%
2010-08-22 - 2010-08-28,+9%
2010-08-29 - 2010-09-04,-2%
2010-09-05 - 2010-09-11,-21%
2010-09-12 - 2010-09-18,-3%
2010-09-19 - 2010-09-25,-15%
2010-09-26 - 2010-10-02,+5%
2010-10-03 - 2010-10-09,-15%
2010-10-10 - 2010-10-16,-12%
2010-10-17 - 2010-10-23,-12%
2010-10-24 - 2010-10-30,+11%
2010-10-31 - 2010-11-06,-35%
2010-11-07 - 2010-11-13,-12%
2010-11-14 - 2010-11-20,+2%
2010-11-21 - 2010-11-27,-11%
2010-11-28 - 2010-12-04,-17%
2010-12-05 - 2010-12-11,-17%
2010-12-12 - 2010-12-18,-14%
2010-12-19 - 2010-12-25,-9%
2010-12-26 - 2011-01-01,-9%



Top searches
toyota,100
ford,70
2010,70
kyron,40
ford motor,30
kyron horman,30
car,25
auto,25
honda,25
ford motor company,25
toyota recall,25
chrysler,25
boeing,20
gm,20
prius,20
general motors,20
nissan,20
cars,15
hyundai,15
bmw,15



Rising searches
kyron,Breakout
kyron horman,Breakout
static kill,Breakout
evo,+3,150%
toyota recall,+650%
ford motor company,+450%
tesla motors,+450%
ford motor,+250%
microsoft,+200%
toyota,+180%



