Image Search interest
United States; 2011

Interest over time
Week,Travel
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+1%
2011-01-16 - 2011-01-22,-2%
2011-01-23 - 2011-01-29,+2%
2011-01-30 - 2011-02-05,-2%
2011-02-06 - 2011-02-12,-2%
2011-02-13 - 2011-02-19,+2%
2011-02-20 - 2011-02-26,+2%
2011-02-27 - 2011-03-05,+7%
2011-03-06 - 2011-03-12,+6%
2011-03-13 - 2011-03-19,+4%
2011-03-20 - 2011-03-26,+2%
2011-03-27 - 2011-04-02,+4%
2011-04-03 - 2011-04-09,+3%
2011-04-10 - 2011-04-16,+1%
2011-04-17 - 2011-04-23,+2%
2011-04-24 - 2011-04-30,+1%
2011-05-01 - 2011-05-07,-1%
2011-05-08 - 2011-05-14,+8%
2011-05-15 - 2011-05-21,+11%
2011-05-22 - 2011-05-28,+11%
2011-05-29 - 2011-06-04,+11%
2011-06-05 - 2011-06-11,+7%
2011-06-12 - 2011-06-18,+8%
2011-06-19 - 2011-06-25,+4%
2011-06-26 - 2011-07-02,+10%
2011-07-03 - 2011-07-09,+8%
2011-07-10 - 2011-07-16,+3%
2011-07-17 - 2011-07-23,+7%
2011-07-24 - 2011-07-30,+7%
2011-07-31 - 2011-08-06,+2%
2011-08-07 - 2011-08-13,-1%
2011-08-14 - 2011-08-20,+4%
2011-08-21 - 2011-08-27,-1%
2011-08-28 - 2011-09-03,-2%
2011-09-04 - 2011-09-10,-2%
2011-09-11 - 2011-09-17,-7%
2011-09-18 - 2011-09-24,-6%
2011-09-25 - 2011-10-01,-3%
2011-10-02 - 2011-10-08,-8%
2011-10-09 - 2011-10-15,-10%
2011-10-16 - 2011-10-22,-11%
2011-10-23 - 2011-10-29,-18%
2011-10-30 - 2011-11-05,-17%
2011-11-06 - 2011-11-12,-2%
2011-11-13 - 2011-11-19,-9%
2011-11-20 - 2011-11-26,-18%
2011-11-27 - 2011-12-03,-12%
2011-12-04 - 2011-12-10,-11%
2011-12-11 - 2011-12-17,-9%
2011-12-18 - 2011-12-24,-17%
2011-12-25 - 2011-12-31,-13%



Top searches
beach,100
park,60
hotel,40
vegas,40
las vegas,35
island,35
disney,30
beaches,25
castle,20
hawaii,20
airport,20
sunset,20
mountain,20
new york,15
italy,15
mexico,15
california,15
bus,15
train,15
mountains,15



Rising searches
jerry sandusky,Breakout
the weeknd,Breakout
sandusky,+1,250%
super 8,+500%
airplane,+200%
vera bradley,+70%
backpack,+60%
plane,+50%
amtrak,+40%
bora bora,+40%



