YouTube Search interest
United States; Past 7 days

Interest over time
Day,Shopping
2014-09-13,+0%
2014-09-14,-1%
2014-09-15,-6%
2014-09-16,-10%
2014-09-17,-8%
2014-09-18, 
2014-09-19, 



Top searches
how to,100
lego,35
xbox,30
minecraft,25
diamond minecart,20
xbox 360,15
barbie,15
the diamond minecart,15
tyler oakley,15
nerf,10
toys,10
peppa pig,10
ice bucket challenge,10
shoes,10
xbox one,10
minecraft xbox,10
destiny,10
transformers,10
ps4,10
feet,10



Rising searches
giancarlo stanton,Breakout
bmx,+60%
selfie,+60%
sweater weather,+50%



