Image Search interest
United States; Past 7 days

Interest over time
Day,Reference
2014-09-12,+0%
2014-09-13,-20%
2014-09-14,-17%
2014-09-15,+10%
2014-09-16,+14%
2014-09-17, 
2014-09-18, 



Top searches
quotes,100
map,40
love,15
flag,15
love quotes,10
life quotes,10
funny quotes,5
tumblr quotes,5
world map,5
calendar,5
quote,5
mexico,5
quotes about life,5
spanish,5
united states,5
9/11,5
usa,5
inspirational quotes,5
cute quotes,5
sayings,5



Rising searches
9/11 quotes,Breakout
9/11,+850%
independencia de mexico,+700%
mexico,+110%
american flag,+90%
mexican flag,+50%
october 2014 calendar,+50%
ancient egypt,+40%



