YouTube Search interest
United States; Past 7 days

Interest over time
Day,Beauty & Fitness
2014-09-13,+0%
2014-09-14,+0%
2014-09-15,+19%
2014-09-16,+6%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
makeup,100
workout,90
america,70
miss america,65
yoga,55
makeup tutorial,45
hairstyles,45
natural hair,25
miss america talent,25
miss america 2015,20
zumba,20
miss america 2014,20
tattoo,15
hair tutorial,15
miss america cup,15
key and peele,15
crossfit,15
bodybuilding,15
michelle phan,15
haircut,10



Rising searches
happy miss america,Breakout
miss america 2014,Breakout
miss america 2015,Breakout
miss america cup,Breakout
miss america talent,Breakout
miss nebraska,Breakout
miss america,+3,850%
america,+1,050%
key and peele,+90%



