News Search interest
United States; Past 12 months

Interest over time
Week,Jobs & Education
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,+15%
2013-09-29 - 2013-10-05,+4%
2013-10-06 - 2013-10-12,+6%
2013-10-13 - 2013-10-19,+8%
2013-10-20 - 2013-10-26,+13%
2013-10-27 - 2013-11-02,+14%
2013-11-03 - 2013-11-09,+27%
2013-11-10 - 2013-11-16,+10%
2013-11-17 - 2013-11-23,+13%
2013-11-24 - 2013-11-30,+15%
2013-12-01 - 2013-12-07,+14%
2013-12-08 - 2013-12-14,+20%
2013-12-15 - 2013-12-21,+11%
2013-12-22 - 2013-12-28,-28%
2013-12-29 - 2014-01-04,-13%
2014-01-05 - 2014-01-11,+17%
2014-01-12 - 2014-01-18,+3%
2014-01-19 - 2014-01-25,+38%
2014-01-26 - 2014-02-01,+18%
2014-02-02 - 2014-02-08,+10%
2014-02-09 - 2014-02-15,+8%
2014-02-16 - 2014-02-22,-1%
2014-02-23 - 2014-03-01,+7%
2014-03-02 - 2014-03-08,+6%
2014-03-09 - 2014-03-15,-4%
2014-03-16 - 2014-03-22,+3%
2014-03-23 - 2014-03-29,+4%
2014-03-30 - 2014-04-05,+1%
2014-04-06 - 2014-04-12,+6%
2014-04-13 - 2014-04-19,-3%
2014-04-20 - 2014-04-26,+4%
2014-04-27 - 2014-05-03,+1%
2014-05-04 - 2014-05-10,+1%
2014-05-11 - 2014-05-17,+3%
2014-05-18 - 2014-05-24,+14%
2014-05-25 - 2014-05-31,+41%
2014-06-01 - 2014-06-07,+18%
2014-06-08 - 2014-06-14,+6%
2014-06-15 - 2014-06-21,+0%
2014-06-22 - 2014-06-28,-11%
2014-06-29 - 2014-07-05,-15%
2014-07-06 - 2014-07-12,-17%
2014-07-13 - 2014-07-19,-11%
2014-07-20 - 2014-07-26,-10%
2014-07-27 - 2014-08-02,-8%
2014-08-03 - 2014-08-09,-6%
2014-08-10 - 2014-08-16,-8%
2014-08-17 - 2014-08-23,+6%
2014-08-24 - 2014-08-30,+13%
2014-08-31 - 2014-09-06,+11%
2014-09-07 - 2014-09-13,+20%
2014-09-14 - 2014-09-20,+13%



Top searches
school,100
college,35
jobs,25
schools,25
education,15
teacher,10
job,10
at,5
harvard,5
florida,5
notre dame,5
stanford,5
test,5
yale,5
purdue,5
academy,5
nebraska,5
mcmath,5
ohio university,5
jahi mcmath,5



Rising searches
elliot rodger,Breakout
jahi mcmath,Breakout
mcmath,Breakout
ohio state university,+450%
uber,+350%
yale university,+300%
ohio university,+200%
harvard university,+160%
purdue,+150%
yale,+90%



