News Search interest
United States; Past 12 months

Interest over time
Week,Online Communities
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-1%
2013-09-29 - 2013-10-05,+1%
2013-10-06 - 2013-10-12,+3%
2013-10-13 - 2013-10-19,+9%
2013-10-20 - 2013-10-26,+19%
2013-10-27 - 2013-11-02,+12%
2013-11-03 - 2013-11-09,+30%
2013-11-10 - 2013-11-16,+9%
2013-11-17 - 2013-11-23,+3%
2013-11-24 - 2013-11-30,+16%
2013-12-01 - 2013-12-07,+4%
2013-12-08 - 2013-12-14,+9%
2013-12-15 - 2013-12-21,+17%
2013-12-22 - 2013-12-28,+30%
2013-12-29 - 2014-01-04,+10%
2014-01-05 - 2014-01-11,+4%
2014-01-12 - 2014-01-18,+3%
2014-01-19 - 2014-01-25,+1%
2014-01-26 - 2014-02-01,+14%
2014-02-02 - 2014-02-08,+26%
2014-02-09 - 2014-02-15,+16%
2014-02-16 - 2014-02-22,+29%
2014-02-23 - 2014-03-01,+16%
2014-03-02 - 2014-03-08,+20%
2014-03-09 - 2014-03-15,+13%
2014-03-16 - 2014-03-22,+9%
2014-03-23 - 2014-03-29,+36%
2014-03-30 - 2014-04-05,+17%
2014-04-06 - 2014-04-12,+22%
2014-04-13 - 2014-04-19,+26%
2014-04-20 - 2014-04-26,+28%
2014-04-27 - 2014-05-03,+33%
2014-05-04 - 2014-05-10,+20%
2014-05-11 - 2014-05-17,+23%
2014-05-18 - 2014-05-24,+26%
2014-05-25 - 2014-05-31,+29%
2014-06-01 - 2014-06-07,+20%
2014-06-08 - 2014-06-14,+23%
2014-06-15 - 2014-06-21,+25%
2014-06-22 - 2014-06-28,+19%
2014-06-29 - 2014-07-05,+45%
2014-07-06 - 2014-07-12,+14%
2014-07-13 - 2014-07-19,+17%
2014-07-20 - 2014-07-26,+25%
2014-07-27 - 2014-08-02,+29%
2014-08-03 - 2014-08-09,+26%
2014-08-10 - 2014-08-16,+20%
2014-08-17 - 2014-08-23,+25%
2014-08-24 - 2014-08-30,+19%
2014-08-31 - 2014-09-06,+23%
2014-09-07 - 2014-09-13,+13%
2014-09-14 - 2014-09-20,+14%



Top searches
facebook,100
facebook facebook,100
facebook login,10
twitter,10
tumblr,5
dating,0
women,0
wallpaper,0
linkedin,0
images,0
social media,0
lana del rey,0
zuckerberg,0
russian,0
mark zuckerberg,0
face,0
facebook mobile,0
woman,0
wallpapers,0
facebook español,0



Rising searches
talking angela,Breakout
download lagu,+1,800%
facebook messenger,+950%
одноклассники,+450%
فيس بوك,+400%
odnoklassniki,+350%
twitter ipo,+350%
megashare,+200%
facebook.,+180%
facebook mobile,+80%



