Image Search interest
United States; Past 30 days

Interest over time
Day,Shopping
2014-08-19,+0%
2014-08-20,-2%
2014-08-21,-2%
2014-08-22,-1%
2014-08-23,+2%
2014-08-24,+1%
2014-08-25,-5%
2014-08-26,-4%
2014-08-27,-3%
2014-08-28,-3%
2014-08-29,-1%
2014-08-30,+3%
2014-08-31,+1%
2014-09-01,-6%
2014-09-02,-9%
2014-09-03,-9%
2014-09-04,-3%
2014-09-05,-1%
2014-09-06,+5%
2014-09-07,+1%
2014-09-08,-6%
2014-09-09,-4%
2014-09-10,-3%
2014-09-11,-8%
2014-09-12,+0%
2014-09-13,+6%
2014-09-14,+8%
2014-09-15,+0%
2014-09-16,-2%
2014-09-17, 
2014-09-18, 



Top searches
shoes,100
black,90
nike,65
white,65
dresses,55
birthday,45
boots,40
party,40
jordan,35
baby,30
flowers,30
gold,30
lego,25
bikini,25
halloween costumes,25
flower,25
cosplay,25
jordans,25
joan rivers,20
diamond,20



Rising searches
joan rivers,Breakout
ice bucket,+850%
ice bucket challenge,+850%
homecoming dresses,+350%
halloween costume ideas,+300%
halloween costumes,+250%
iphone 6,+250%
party city,+80%
ariana grande,+50%
basketball shoes,+50%



