YouTube Search interest
United States; 2011

Interest over time
Week,Reference
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+4%
2011-01-16 - 2011-01-22,+6%
2011-01-23 - 2011-01-29,+4%
2011-01-30 - 2011-02-05,+10%
2011-02-06 - 2011-02-12,+7%
2011-02-13 - 2011-02-19,+4%
2011-02-20 - 2011-02-26,+2%
2011-02-27 - 2011-03-05,+7%
2011-03-06 - 2011-03-12,+4%
2011-03-13 - 2011-03-19,+13%
2011-03-20 - 2011-03-26,+9%
2011-03-27 - 2011-04-02,+6%
2011-04-03 - 2011-04-09,+13%
2011-04-10 - 2011-04-16,+7%
2011-04-17 - 2011-04-23,+6%
2011-04-24 - 2011-04-30,+6%
2011-05-01 - 2011-05-07,+5%
2011-05-08 - 2011-05-14,+6%
2011-05-15 - 2011-05-21,+9%
2011-05-22 - 2011-05-28,+5%
2011-05-29 - 2011-06-04,+5%
2011-06-05 - 2011-06-11,+9%
2011-06-12 - 2011-06-18,+1%
2011-06-19 - 2011-06-25,+6%
2011-06-26 - 2011-07-02,+6%
2011-07-03 - 2011-07-09,+5%
2011-07-10 - 2011-07-16,+5%
2011-07-17 - 2011-07-23,+5%
2011-07-24 - 2011-07-30,+5%
2011-07-31 - 2011-08-06,+6%
2011-08-07 - 2011-08-13,+5%
2011-08-14 - 2011-08-20,+9%
2011-08-21 - 2011-08-27,+6%
2011-08-28 - 2011-09-03,+11%
2011-09-04 - 2011-09-10,+11%
2011-09-11 - 2011-09-17,+15%
2011-09-18 - 2011-09-24,+18%
2011-09-25 - 2011-10-01,+15%
2011-10-02 - 2011-10-08,+21%
2011-10-09 - 2011-10-15,+25%
2011-10-16 - 2011-10-22,+15%
2011-10-23 - 2011-10-29,+16%
2011-10-30 - 2011-11-05,+16%
2011-11-06 - 2011-11-12,+14%
2011-11-13 - 2011-11-19,+16%
2011-11-20 - 2011-11-26,+16%
2011-11-27 - 2011-12-03,+20%
2011-12-04 - 2011-12-10,+18%
2011-12-11 - 2011-12-17,+18%
2011-12-18 - 2011-12-24,+15%
2011-12-25 - 2011-12-31,+15%



Top searches
2011,100
history,40
battles,30
history of rap,30
epic,30
epic rap battles,30
songs 2011,10
speech,5
trailer 2011,5
new songs 2011,5
speak,5
quotes,5
civil wars,5
waving flag,5
2011 movies,5
the civil wars,5
egypt,5
leprechaun,5
motto,5
unicorn,5



Rising searches
epic rap battles,Breakout
history of rap,Breakout
epic,+3,800%
songs 2011,+2,100%
battles,+1,700%
new songs 2011,+1,700%
civil wars,+1,000%
the civil wars,+1,000%
2011,+900%
2011 movies,+600%



