News Search interest
United States; Jan 2008 - Sep 2014

Interest over time
Week,Arts & Entertainment
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+33%
2008-01-20 - 2008-01-26,+13%
2008-01-27 - 2008-02-02,+10%
2008-02-03 - 2008-02-09,-2%
2008-02-10 - 2008-02-16,+52%
2008-02-17 - 2008-02-23,+33%
2008-02-24 - 2008-03-01,+71%
2008-03-02 - 2008-03-08,+35%
2008-03-09 - 2008-03-15,+15%
2008-03-16 - 2008-03-22,+2%
2008-03-23 - 2008-03-29,+27%
2008-03-30 - 2008-04-05,+29%
2008-04-06 - 2008-04-12,+38%
2008-04-13 - 2008-04-19,+38%
2008-04-20 - 2008-04-26,+35%
2008-04-27 - 2008-05-03,+69%
2008-05-04 - 2008-05-10,+27%
2008-05-11 - 2008-05-17,+50%
2008-05-18 - 2008-05-24,+92%
2008-05-25 - 2008-05-31,+31%
2008-06-01 - 2008-06-07,-2%
2008-06-08 - 2008-06-14,-4%
2008-06-15 - 2008-06-21,-2%
2008-06-22 - 2008-06-28,+31%
2008-06-29 - 2008-07-05,+12%
2008-07-06 - 2008-07-12,+31%
2008-07-13 - 2008-07-19,+40%
2008-07-20 - 2008-07-26,+63%
2008-07-27 - 2008-08-02,+23%
2008-08-03 - 2008-08-09,+15%
2008-08-10 - 2008-08-16,+6%
2008-08-17 - 2008-08-23,+29%
2008-08-24 - 2008-08-30,-21%
2008-08-31 - 2008-09-06,-40%
2008-09-07 - 2008-09-13,-23%
2008-09-14 - 2008-09-20,+8%
2008-09-21 - 2008-09-27,+44%
2008-09-28 - 2008-10-04,-8%
2008-10-05 - 2008-10-11,-6%
2008-10-12 - 2008-10-18,-2%
2008-10-19 - 2008-10-25,+17%
2008-10-26 - 2008-11-01,+17%
2008-11-02 - 2008-11-08,-40%
2008-11-09 - 2008-11-15,+15%
2008-11-16 - 2008-11-22,+31%
2008-11-23 - 2008-11-29,+25%
2008-11-30 - 2008-12-06,+12%
2008-12-07 - 2008-12-13,+13%
2008-12-14 - 2008-12-20,+19%
2008-12-21 - 2008-12-27,+25%
2008-12-28 - 2009-01-03,+15%
2009-01-04 - 2009-01-10,+17%
2009-01-11 - 2009-01-17,+44%
2009-01-18 - 2009-01-24,-4%
2009-01-25 - 2009-01-31,+10%
2009-02-01 - 2009-02-07,+25%
2009-02-08 - 2009-02-14,+88%
2009-02-15 - 2009-02-21,+40%
2009-02-22 - 2009-02-28,+67%
2009-03-01 - 2009-03-07,+44%
2009-03-08 - 2009-03-14,+27%
2009-03-15 - 2009-03-21,+44%
2009-03-22 - 2009-03-28,+21%
2009-03-29 - 2009-04-04,+17%
2009-04-05 - 2009-04-11,+31%
2009-04-12 - 2009-04-18,+35%
2009-04-19 - 2009-04-25,+27%
2009-04-26 - 2009-05-02,-12%
2009-05-03 - 2009-05-09,+29%
2009-05-10 - 2009-05-16,+48%
2009-05-17 - 2009-05-23,+54%
2009-05-24 - 2009-05-30,+35%
2009-05-31 - 2009-06-06,+19%
2009-06-07 - 2009-06-13,+2%
2009-06-14 - 2009-06-20,+4%
2009-06-21 - 2009-06-27,+52%
2009-06-28 - 2009-07-04,+42%
2009-07-05 - 2009-07-11,+10%
2009-07-12 - 2009-07-18,+6%
2009-07-19 - 2009-07-25,+6%
2009-07-26 - 2009-08-01,+2%
2009-08-02 - 2009-08-08,+12%
2009-08-09 - 2009-08-15,+13%
2009-08-16 - 2009-08-22,+12%
2009-08-23 - 2009-08-29,+2%
2009-08-30 - 2009-09-05,-4%
2009-09-06 - 2009-09-12,-6%
2009-09-13 - 2009-09-19,+42%
2009-09-20 - 2009-09-26,+8%
2009-09-27 - 2009-10-03,+6%
2009-10-04 - 2009-10-10,+2%
2009-10-11 - 2009-10-17,+0%
2009-10-18 - 2009-10-24,+6%
2009-10-25 - 2009-10-31,-4%
2009-11-01 - 2009-11-07,-6%
2009-11-08 - 2009-11-14,+8%
2009-11-15 - 2009-11-21,+6%
2009-11-22 - 2009-11-28,+19%
2009-11-29 - 2009-12-05,-12%
2009-12-06 - 2009-12-12,-13%
2009-12-13 - 2009-12-19,+2%
2009-12-20 - 2009-12-26,+21%
2009-12-27 - 2010-01-02,-6%
2010-01-03 - 2010-01-09,+8%
2010-01-10 - 2010-01-16,+8%
2010-01-17 - 2010-01-23,+4%
2010-01-24 - 2010-01-30,-10%
2010-01-31 - 2010-02-06,+8%
2010-02-07 - 2010-02-13,+0%
2010-02-14 - 2010-02-20,-10%
2010-02-21 - 2010-02-27,-15%
2010-02-28 - 2010-03-06,-2%
2010-03-07 - 2010-03-13,+10%
2010-03-14 - 2010-03-20,-10%
2010-03-21 - 2010-03-27,-2%
2010-03-28 - 2010-04-03,+6%
2010-04-04 - 2010-04-10,-12%
