Web Search interest
United States; Past 7 days

Interest over time
Day,Home & Garden
2014-09-11,+0%
2014-09-12,+3%
2014-09-13,+15%
2014-09-14,+16%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
home depot,100
furniture,90
lowes,70
kitchen,45
ikea,40
mattress,25
bed bath beyond,25
bath and beyond,25
amazon,25
pool,25
amc,20
pottery barn,20
walmart,20
vacuum,15
target,15
sears,15
refrigerator,15
bedding,15
menards,15
box,15



Rising searches
vermin,Breakout
destiny gold chests,+1,150%
golden chests destiny,+800%
fireplace inserts,+70%
amc 30,+60%
jack reacher,+60%
amc,+50%
amc theaters,+50%
keurig 2.0,+50%
my apron,+50%



