News Search interest
United States; Past 30 days

Interest over time
Day,Food & Drink
2014-08-19,+0%
2014-08-20,+0%
2014-08-21,-3%
2014-08-22,-4%
2014-08-23,+6%
2014-08-24,+6%
2014-08-25,+23%
2014-08-26,+41%
2014-08-27,+23%
2014-08-28,+13%
2014-08-29,-3%
2014-08-30,+10%
2014-08-31,-1%
2014-09-01,-10%
2014-09-02,-18%
2014-09-03,-17%
2014-09-04,-1%
2014-09-05,+1%
2014-09-06,+3%
2014-09-07,-8%
2014-09-08,-10%
2014-09-09,-14%
2014-09-10,-10%
2014-09-11,-14%
2014-09-12,-7%
2014-09-13,-3%
2014-09-14,-11%
2014-09-15,-15%
2014-09-16,-13%
2014-09-17, 
2014-09-18, 



Top searches
market basket,100
food,90
tim hortons,70
restaurant,65
pizza,60
fast food,45
restaurants,40
burger,40
mcdonalds,40
recipes,30
starbucks,30
burger king,30
napa,30
denver,30
beer,25
cheese,25
portland,25
coffee,25
frozen,20
cake,20



Rising searches
braxton miller,Breakout
tim hortons,+2,200%
napa,+900%
fast food,+700%
olive garden,+200%
kroger,+140%
chick fil a,+110%
burger king,+100%
dunkin,+90%
burger,+80%



