YouTube Search interest
United States; 2009

Interest over time
Week,Books & Literature
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-1%
2009-01-18 - 2009-01-24,+4%
2009-01-25 - 2009-01-31,+0%
2009-02-01 - 2009-02-07,-1%
2009-02-08 - 2009-02-14,-1%
2009-02-15 - 2009-02-21,-4%
2009-02-22 - 2009-02-28,-5%
2009-03-01 - 2009-03-07,-5%
2009-03-08 - 2009-03-14,-4%
2009-03-15 - 2009-03-21,-6%
2009-03-22 - 2009-03-28,-2%
2009-03-29 - 2009-04-04,+1%
2009-04-05 - 2009-04-11,-6%
2009-04-12 - 2009-04-18,-8%
2009-04-19 - 2009-04-25,-5%
2009-04-26 - 2009-05-02,+0%
2009-05-03 - 2009-05-09,-2%
2009-05-10 - 2009-05-16,-4%
2009-05-17 - 2009-05-23,-4%
2009-05-24 - 2009-05-30,-5%
2009-05-31 - 2009-06-06,+1%
2009-06-07 - 2009-06-13,-4%
2009-06-14 - 2009-06-20,-1%
2009-06-21 - 2009-06-27,-2%
2009-06-28 - 2009-07-04,-6%
2009-07-05 - 2009-07-11,-2%
2009-07-12 - 2009-07-18,+19%
2009-07-19 - 2009-07-25,+18%
2009-07-26 - 2009-08-01,+13%
2009-08-02 - 2009-08-08,+5%
2009-08-09 - 2009-08-15,+1%
2009-08-16 - 2009-08-22,+0%
2009-08-23 - 2009-08-29,+1%
2009-08-30 - 2009-09-05,-1%
2009-09-06 - 2009-09-12,+5%
2009-09-13 - 2009-09-19,-2%
2009-09-20 - 2009-09-26,+2%
2009-09-27 - 2009-10-03,+1%
2009-10-04 - 2009-10-10,+5%
2009-10-11 - 2009-10-17,+4%
2009-10-18 - 2009-10-24,+6%
2009-10-25 - 2009-10-31,+7%
2009-11-01 - 2009-11-07,+2%
2009-11-08 - 2009-11-14,+2%
2009-11-15 - 2009-11-21,+0%
2009-11-22 - 2009-11-28,-6%
2009-11-29 - 2009-12-05,+6%
2009-12-06 - 2009-12-12,+12%
2009-12-13 - 2009-12-19,+8%
2009-12-20 - 2009-12-26,-4%
2009-12-27 - 2010-01-02,+4%



Top searches
harry potter,100
alice,45
alice in wonderland,40
subscribe tags,35
poetry,30
romeo,30
half blood prince,30
harry potter trailer,25
romeo and juliet,25
gancho al corazon,25
def poetry,15
vampire diaries,15
deathly hallows,15
poemas,15
sooner than later,15
chase coy,15
def poetry jam,15
narnia,10
winnie the pooh,10
pride and prejudice,10



Rising searches
vampire diaries,Breakout
sooner than later,+2,050%
eclipse,+750%
gancho al corazon,+700%
deathly hallows,+350%
alice in wonderland,+190%
alice,+170%
chase coy,+160%
sherlock holmes,+140%
harry potter trailer,+40%



