Image Search interest
United States; Past 12 months

Interest over time
Week,Sports
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-2%
2013-09-29 - 2013-10-05,-8%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,-7%
2013-10-20 - 2013-10-26,-6%
2013-10-27 - 2013-11-02,-6%
2013-11-03 - 2013-11-09,-7%
2013-11-10 - 2013-11-16,-8%
2013-11-17 - 2013-11-23,-9%
2013-11-24 - 2013-11-30,-2%
2013-12-01 - 2013-12-07,-12%
2013-12-08 - 2013-12-14,-7%
2013-12-15 - 2013-12-21,-6%
2013-12-22 - 2013-12-28,-4%
2013-12-29 - 2014-01-04,+7%
2014-01-05 - 2014-01-11,+1%
2014-01-12 - 2014-01-18,+2%
2014-01-19 - 2014-01-25,+9%
2014-01-26 - 2014-02-01,-1%
2014-02-02 - 2014-02-08,+18%
2014-02-09 - 2014-02-15,+11%
2014-02-16 - 2014-02-22,+13%
2014-02-23 - 2014-03-01,-5%
2014-03-02 - 2014-03-08,-12%
2014-03-09 - 2014-03-15,-9%
2014-03-16 - 2014-03-22,-6%
2014-03-23 - 2014-03-29,-9%
2014-03-30 - 2014-04-05,-7%
2014-04-06 - 2014-04-12,-2%
2014-04-13 - 2014-04-19,-7%
2014-04-20 - 2014-04-26,-5%
2014-04-27 - 2014-05-03,-5%
2014-05-04 - 2014-05-10,-7%
2014-05-11 - 2014-05-17,-9%
2014-05-18 - 2014-05-24,-9%
2014-05-25 - 2014-05-31,-7%
2014-06-01 - 2014-06-07,-7%
2014-06-08 - 2014-06-14,+7%
2014-06-15 - 2014-06-21,+18%
2014-06-22 - 2014-06-28,+12%
2014-06-29 - 2014-07-05,+1%
2014-07-06 - 2014-07-12,+4%
2014-07-13 - 2014-07-19,+1%
2014-07-20 - 2014-07-26,-15%
2014-07-27 - 2014-08-02,-13%
2014-08-03 - 2014-08-09,-11%
2014-08-10 - 2014-08-16,-6%
2014-08-17 - 2014-08-23,-8%
2014-08-24 - 2014-08-30,-6%
2014-08-31 - 2014-09-06,-4%
2014-09-07 - 2014-09-13,+0%
2014-09-14 - 2014-09-20,+2%



Top searches
2014,100
football,65
basketball,45
soccer,35
baseball,30
wwe,30
nfl,20
nba,20
world cup,15
lebron james,15
bike,15
hockey,15
ronaldo,15
seahawks,15
ariana grande,15
sports,10
volleyball,10
messi,10
broncos,10
jordans,10



Rising searches
world cup 2014,+2,650%
2014,+1,900%
world cup,+900%
lebron 11,+500%
seahawks,+250%
neymar,+140%
broncos,+130%
peyton manning,+130%
red sox,+80%
ariana grande,+70%



