News Search interest
United States; Past 90 days

Interest over time
Day,Health
2014-06-19,+0%
2014-06-20,-7%
2014-06-21,-13%
2014-06-22,-17%
2014-06-23,-7%
2014-06-24,-4%
2014-06-25,-11%
2014-06-26,-15%
2014-06-27,-9%
2014-06-28,-17%
2014-06-29,-22%
2014-06-30,-11%
2014-07-01,-11%
2014-07-02,-6%
2014-07-03,-6%
2014-07-04,-26%
2014-07-05,-20%
2014-07-06,-20%
2014-07-07,-2%
2014-07-08,+15%
2014-07-09,+2%
2014-07-10,-11%
2014-07-11,-11%
2014-07-12,-20%
2014-07-13,-28%
2014-07-14,-13%
2014-07-15,-7%
2014-07-16,-7%
2014-07-17,-11%
2014-07-18,-7%
2014-07-19,-11%
2014-07-20,-9%
2014-07-21,+9%
2014-07-22,+13%
2014-07-23,+9%
2014-07-24,-2%
2014-07-25,-2%
2014-07-26,-6%
2014-07-27,-2%
2014-07-28,+19%
2014-07-29,+24%
2014-07-30,+35%
2014-07-31,+37%
2014-08-01,+48%
2014-08-02,+69%
2014-08-03,+31%
2014-08-04,+63%
2014-08-05,+85%
2014-08-06,+76%
2014-08-07,+65%
2014-08-08,+46%
2014-08-09,+31%
2014-08-10,+17%
2014-08-11,+17%
2014-08-12,+13%
2014-08-13,+20%
2014-08-14,+19%
2014-08-15,+13%
2014-08-16,-4%
2014-08-17,+4%
2014-08-18,+28%
2014-08-19,+28%
2014-08-20,+41%
2014-08-21,+28%
2014-08-22,+26%
2014-08-23,+2%
2014-08-24,+0%
2014-08-25,+11%
2014-08-26,+24%
2014-08-27,+20%
2014-08-28,+24%
2014-08-29,+20%
2014-08-30,+0%
2014-08-31,-4%
2014-09-01,-11%
2014-09-02,+13%
2014-09-03,+26%
2014-09-04,+26%
2014-09-05,+30%
2014-09-06,+9%
2014-09-07,+4%
2014-09-08,+19%
2014-09-09,+13%
2014-09-10,+26%
2014-09-11,+24%
2014-09-12,+15%
2014-09-13,+2%
2014-09-14,-9%
2014-09-15,+19%
2014-09-16,+28%
2014-09-17, 
2014-09-18, 



Top searches
ebola,100
marijuana,15
health,15
cancer,10
hospital,10
cannabis,5
hiv,5
disease,5
ebola virus,5
joan rivers,5
ebola outbreak,5
surgery,5
aids,5
autism,5
diabetes,5
weed,5
walgreens,5
healthcare,5
drugs,5
paul george,5



Rising searches
enterovirus,Breakout
paul george injury,Breakout
joan rivers,+4,350%
paul george,+4,200%
ebola 2014,+1,300%
ebola outbreak 2014,+1,250%
ebola,+1,050%
ebola virus,+1,000%
ebola outbreak,+600%
cdc,+180%



