News Search interest
United States; 2012

Interest over time
Week,Beauty & Fitness
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+13%
2012-01-15 - 2012-01-21,+33%
2012-01-22 - 2012-01-28,+7%
2012-01-29 - 2012-02-04,+0%
2012-02-05 - 2012-02-11,+23%
2012-02-12 - 2012-02-18,+22%
2012-02-19 - 2012-02-25,+13%
2012-02-26 - 2012-03-03,+27%
2012-03-04 - 2012-03-10,-5%
2012-03-11 - 2012-03-17,-13%
2012-03-18 - 2012-03-24,-10%
2012-03-25 - 2012-03-31,-3%
2012-04-01 - 2012-04-07,+7%
2012-04-08 - 2012-04-14,+0%
2012-04-15 - 2012-04-21,-5%
2012-04-22 - 2012-04-28,-7%
2012-04-29 - 2012-05-05,+20%
2012-05-06 - 2012-05-12,+12%
2012-05-13 - 2012-05-19,-3%
2012-05-20 - 2012-05-26,-12%
2012-05-27 - 2012-06-02,+35%
2012-06-03 - 2012-06-09,+48%
2012-06-10 - 2012-06-16,+10%
2012-06-17 - 2012-06-23,+3%
2012-06-24 - 2012-06-30,+0%
2012-07-01 - 2012-07-07,-7%
2012-07-08 - 2012-07-14,+2%
2012-07-15 - 2012-07-21,+0%
2012-07-22 - 2012-07-28,-3%
2012-07-29 - 2012-08-04,-2%
2012-08-05 - 2012-08-11,+7%
2012-08-12 - 2012-08-18,+7%
2012-08-19 - 2012-08-25,+15%
2012-08-26 - 2012-09-01,-3%
2012-09-02 - 2012-09-08,+25%
2012-09-09 - 2012-09-15,+18%
2012-09-16 - 2012-09-22,+18%
2012-09-23 - 2012-09-29,+15%
2012-09-30 - 2012-10-06,-5%
2012-10-07 - 2012-10-13,+17%
2012-10-14 - 2012-10-20,+33%
2012-10-21 - 2012-10-27,+15%
2012-10-28 - 2012-11-03,-13%
2012-11-04 - 2012-11-10,-5%
2012-11-11 - 2012-11-17,+67%
2012-11-18 - 2012-11-24,+38%
2012-11-25 - 2012-12-01,+18%
2012-12-02 - 2012-12-08,+38%
2012-12-09 - 2012-12-15,+3%
2012-12-16 - 2012-12-22,+63%
2012-12-23 - 2012-12-29,+33%
2012-12-30 - 2013-01-05,+43%



Top searches
hair,100
tattoo,50
hostess,45
harry styles,45
weight,35
tattoos,30
fashion,25
fitness,25
bath salts,25
yoga,20
miss universe,20
weight loss,20
gisele,15
klum,15
face,15
cincinnati,15
heidi klum,15
makeup,15
america,15
diet,15



Rising searches
hostess,Breakout
miss universe 2012,Breakout
harry styles,+3,100%
heidi klum,+250%
klum,+250%
zumba,+250%
gisele,+140%
nails,+140%
tanning,+130%
tattoos,+120%



