Web Search interest
United States; Past 7 days

Interest over time
Day,Sports
2014-09-11,+0%
2014-09-12,+12%
2014-09-13,+53%
2014-09-14,+104%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
football,100
nfl,45
espn,35
mayweather,20
ray rice,15
fantasy football,15
adrian peterson,10
mayweather maidana,10
mlb,10
college football,10
yahoo,10
mayweather vs maidana,10
baseball,10
basketball,5
ray rice video,5
steelers,5
nfl schedule,5
giants,5
ravens,5
espn fantasy,5



Rising searches
adrian peterson,+2,900%
oscar pistorius,+1,350%
pistorius,+1,350%
mayweather vs maidana,+1,300%
mayweather maidana,+1,250%
mayweather fight,+950%
mayweather,+750%
floyd mayweather,+350%
nfl week 2,+350%
real madrid,+120%



