Google Shopping interest
United States; Past 90 days

Interest over time
Day,Sports
2014-06-20,+0%
2014-06-21,+9%
2014-06-22,+14%
2014-06-23,+5%
2014-06-24,+7%
2014-06-25,+3%
2014-06-26,+7%
2014-06-27,+4%
2014-06-28,+7%
2014-06-29,+9%
2014-06-30,+5%
2014-07-01,+9%
2014-07-02,-3%
2014-07-03,-4%
2014-07-04,-1%
2014-07-05,+4%
2014-07-06,+7%
2014-07-07,-5%
2014-07-08,+1%
2014-07-09,-3%
2014-07-10,-4%
2014-07-11,+4%
2014-07-12,+8%
2014-07-13,+17%
2014-07-14,+1%
2014-07-15,-1%
2014-07-16,-1%
2014-07-17,-7%
2014-07-18,-5%
2014-07-19,+4%
2014-07-20,+4%
2014-07-21,+3%
2014-07-22,-5%
2014-07-23,+0%
2014-07-24,-8%
2014-07-25,-3%
2014-07-26,+3%
2014-07-27,+0%
2014-07-28,-4%
2014-07-29,-5%
2014-07-30,-5%
2014-07-31,-4%
2014-08-01,-4%
2014-08-02,+5%
2014-08-03,+0%
2014-08-04,+0%
2014-08-05,-7%
2014-08-06,-1%
2014-08-07,-4%
2014-08-08,+0%
2014-08-09,+1%
2014-08-10,+5%
2014-08-11,+0%
2014-08-12,-7%
2014-08-13,-8%
2014-08-14,-7%
2014-08-15,-4%
2014-08-16,+7%
2014-08-17,+7%
2014-08-18,-1%
2014-08-19,-5%
2014-08-20,-5%
2014-08-21,-9%
2014-08-22,-1%
2014-08-23,+4%
2014-08-24,+8%
2014-08-25,-3%
2014-08-26,-8%
2014-08-27,-4%
2014-08-28,-5%
2014-08-29,+1%
2014-08-30,+16%
2014-08-31,+16%
2014-09-01,+1%
2014-09-02,-4%
2014-09-03,-7%
2014-09-04,-11%
2014-09-05,+0%
2014-09-06,+16%
2014-09-07,+32%
2014-09-08,+4%
2014-09-09,-3%
2014-09-10,-8%
2014-09-11,-11%
2014-09-12,-5%
2014-09-13,+7%
2014-09-14,+21%
2014-09-15,+3%
2014-09-16,-5%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
bike,100
baseball,75
soccer,65
nike,60
golf,50
bikes,45
world cup,35
basketball,30
bicycle,25
new balance,25
nfl,20
wwe,20
skateboard,15
soccer cleats,15
jordans,15
ebay,15
skateboards,15
mountain bike,15
espn,15
world cup 2014,15



Rising searches
49ers,+120%
dallas cowboys,+120%
steelers,+110%
nfl,+90%
fifa world cup,+80%
messi,+80%
nike soccer cleats,+60%
soccer ball,+60%
soccer cleats,+60%
detroit tigers,+50%



