News Search interest
United States; 2011

Interest over time
Week,Hobbies & Leisure
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-58%
2011-01-16 - 2011-01-22,-54%
2011-01-23 - 2011-01-29,-57%
2011-01-30 - 2011-02-05,-43%
2011-02-06 - 2011-02-12,-58%
2011-02-13 - 2011-02-19,-49%
2011-02-20 - 2011-02-26,-56%
2011-02-27 - 2011-03-05,-56%
2011-03-06 - 2011-03-12,-58%
2011-03-13 - 2011-03-19,-60%
2011-03-20 - 2011-03-26,-44%
2011-03-27 - 2011-04-02,-41%
2011-04-03 - 2011-04-09,-54%
2011-04-10 - 2011-04-16,-53%
2011-04-17 - 2011-04-23,-42%
2011-04-24 - 2011-04-30,-36%
2011-05-01 - 2011-05-07,-47%
2011-05-08 - 2011-05-14,-47%
2011-05-15 - 2011-05-21,-41%
2011-05-22 - 2011-05-28,-39%
2011-05-29 - 2011-06-04,-41%
2011-06-05 - 2011-06-11,-38%
2011-06-12 - 2011-06-18,-45%
2011-06-19 - 2011-06-25,-52%
2011-06-26 - 2011-07-02,-44%
2011-07-03 - 2011-07-09,-35%
2011-07-10 - 2011-07-16,-39%
2011-07-17 - 2011-07-23,-37%
2011-07-24 - 2011-07-30,-44%
2011-07-31 - 2011-08-06,-47%
2011-08-07 - 2011-08-13,-51%
2011-08-14 - 2011-08-20,-48%
2011-08-21 - 2011-08-27,-52%
2011-08-28 - 2011-09-03,-49%
2011-09-04 - 2011-09-10,-50%
2011-09-11 - 2011-09-17,-51%
2011-09-18 - 2011-09-24,-53%
2011-09-25 - 2011-10-01,-52%
2011-10-02 - 2011-10-08,-50%
2011-10-09 - 2011-10-15,-48%
2011-10-16 - 2011-10-22,-46%
2011-10-23 - 2011-10-29,-47%
2011-10-30 - 2011-11-05,-38%
2011-11-06 - 2011-11-12,-48%
2011-11-13 - 2011-11-19,-54%
2011-11-20 - 2011-11-26,-45%
2011-11-27 - 2011-12-03,-47%
2011-12-04 - 2011-12-10,-50%
2011-12-11 - 2011-12-17,-47%
2011-12-18 - 2011-12-24,-17%
2011-12-25 - 2011-12-31,-18%



Top searches
wedding,100
birds,70
dog,70
lottery,60
mega millions,50
christmas,45
marathon,40
boeing,35
let it snow,35
lance armstrong,30
weiner,25
sony,25
tour de france,25
fish,25
animal,25
lockout,20
horse,20
angry birds,20
dogs,20
nfl lockout,20



Rising searches
let it snow,Breakout
weiner,+3,150%
nfl lockout,+2,100%
lockout,+1,800%
birds,+650%
angry birds,+400%
wedding,+160%
christmas,+130%
halloween,+110%
fish,+100%



