News Search interest
United States; 2008

Interest over time
Week,Travel
2008-01-06 - 2008-01-12,+0%
2008-01-13 - 2008-01-19,+44%
2008-01-20 - 2008-01-26,+60%
2008-01-27 - 2008-02-02,+21%
2008-02-03 - 2008-02-09,-16%
2008-02-10 - 2008-02-16,-2%
2008-02-17 - 2008-02-23,+23%
2008-02-24 - 2008-03-01,+26%
2008-03-02 - 2008-03-08,+56%
2008-03-09 - 2008-03-15,+21%
2008-03-16 - 2008-03-22,-7%
2008-03-23 - 2008-03-29,+51%
2008-03-30 - 2008-04-05,+100%
2008-04-06 - 2008-04-12,+133%
2008-04-13 - 2008-04-19,+74%
2008-04-20 - 2008-04-26,+35%
2008-04-27 - 2008-05-03,+12%
2008-05-04 - 2008-05-10,-5%
2008-05-11 - 2008-05-17,+9%
2008-05-18 - 2008-05-24,+72%
2008-05-25 - 2008-05-31,+53%
2008-06-01 - 2008-06-07,+70%
2008-06-08 - 2008-06-14,+63%
2008-06-15 - 2008-06-21,+23%
2008-06-22 - 2008-06-28,+44%
2008-06-29 - 2008-07-05,+107%
2008-07-06 - 2008-07-12,+51%
2008-07-13 - 2008-07-19,+0%
2008-07-20 - 2008-07-26,+14%
2008-07-27 - 2008-08-02,+63%
2008-08-03 - 2008-08-09,+14%
2008-08-10 - 2008-08-16,-30%
2008-08-17 - 2008-08-23,+12%
2008-08-24 - 2008-08-30,-9%
2008-08-31 - 2008-09-06,-26%
2008-09-07 - 2008-09-13,-7%
2008-09-14 - 2008-09-20,+14%
2008-09-21 - 2008-09-27,-5%
2008-09-28 - 2008-10-04,-33%
2008-10-05 - 2008-10-11,-21%
2008-10-12 - 2008-10-18,+12%
2008-10-19 - 2008-10-25,-23%
2008-10-26 - 2008-11-01,-23%
2008-11-02 - 2008-11-08,-51%
2008-11-09 - 2008-11-15,-7%
2008-11-16 - 2008-11-22,-5%
2008-11-23 - 2008-11-29,+9%
2008-11-30 - 2008-12-06,+30%
2008-12-07 - 2008-12-13,-9%
2008-12-14 - 2008-12-20,+42%
2008-12-21 - 2008-12-27,+74%
2008-12-28 - 2009-01-03,+49%



Top searches
airlines,100
vegas,35
las vegas,30
airport,25
american airlines,25
delta,20
united,20
airline,20
united airlines,15
southwest,15
abu-dhabi,15
southwest airlines,10
dubai,10
santa cruz,10
cruise,10
grand canyon,10
delta airlines,10
hawaii,10
santa cruz fire,10
disney,10



Rising searches
monte carlo fire,Breakout
santa cruz fire,Breakout
delta northwest,+600%
santa cruz,+350%
alitalia,+300%
american airlines,+200%
continental airlines,+120%
abu-dhabi,+70%
delta,+70%
dubai,+70%



