Web Search interest
United States; Past 30 days

Interest over time
Day,Science
2014-08-18,+0%
2014-08-19,+11%
2014-08-20,+9%
2014-08-21,+9%
2014-08-22,+3%
2014-08-23,-23%
2014-08-24,-12%
2014-08-25,+14%
2014-08-26,+27%
2014-08-27,+30%
2014-08-28,+30%
2014-08-29,+19%
2014-08-30,-19%
2014-08-31,-16%
2014-09-01,-3%
2014-09-02,+27%
2014-09-03,+38%
2014-09-04,+44%
2014-09-05,+31%
2014-09-06,-12%
2014-09-07,+3%
2014-09-08,+42%
2014-09-09,+56%
2014-09-10,+53%
2014-09-11,+48%
2014-09-12,+41%
2014-09-13,-3%
2014-09-14,+5%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
math,100
science,50
java,45
calculator,30
windows 7,30
chemistry,25
cool math,25
periodic table,20
biology,20
engineering,20
algebra,20
physics,20
javascript,15
brain,15
multiplication,10
black widow,10
dna,10
wolfram,10
divergent,10
coolmath,10



Rising searches
scientific method,+350%
periodic table,+200%
coolmath,+130%
wolfram,+130%
algebra,+120%
biology,+120%
wolfram alpha,+120%
chemistry,+100%
multiplication,+100%
cool math,+90%



