Google Shopping interest
United States; 2011

Interest over time
Week,Reference
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+0%
2011-01-16 - 2011-01-22,+16%
2011-01-23 - 2011-01-29,-1%
2011-01-30 - 2011-02-05,-7%
2011-02-06 - 2011-02-12,-16%
2011-02-13 - 2011-02-19,-20%
2011-02-20 - 2011-02-26,-20%
2011-02-27 - 2011-03-05,-15%
2011-03-06 - 2011-03-12,-15%
2011-03-13 - 2011-03-19,-16%
2011-03-20 - 2011-03-26,-20%
2011-03-27 - 2011-04-02,-12%
2011-04-03 - 2011-04-09,-15%
2011-04-10 - 2011-04-16,-19%
2011-04-17 - 2011-04-23,-22%
2011-04-24 - 2011-04-30,-17%
2011-05-01 - 2011-05-07,-19%
2011-05-08 - 2011-05-14,-17%
2011-05-15 - 2011-05-21,-17%
2011-05-22 - 2011-05-28,-17%
2011-05-29 - 2011-06-04,-17%
2011-06-05 - 2011-06-11,-17%
2011-06-12 - 2011-06-18,-21%
2011-06-19 - 2011-06-25,-22%
2011-06-26 - 2011-07-02,-21%
2011-07-03 - 2011-07-09,-20%
2011-07-10 - 2011-07-16,-17%
2011-07-17 - 2011-07-23,-21%
2011-07-24 - 2011-07-30,-22%
2011-07-31 - 2011-08-06,-15%
2011-08-07 - 2011-08-13,-6%
2011-08-14 - 2011-08-20,+10%
2011-08-21 - 2011-08-27,+23%
2011-08-28 - 2011-09-03,+22%
2011-09-04 - 2011-09-10,+14%
2011-09-11 - 2011-09-17,+2%
2011-09-18 - 2011-09-24,-6%
2011-09-25 - 2011-10-01,-10%
2011-10-02 - 2011-10-08,-11%
2011-10-09 - 2011-10-15,-12%
2011-10-16 - 2011-10-22,-14%
2011-10-23 - 2011-10-29,-17%
2011-10-30 - 2011-11-05,-16%
2011-11-06 - 2011-11-12,-20%
2011-11-13 - 2011-11-19,-17%
2011-11-20 - 2011-11-26,-35%
2011-11-27 - 2011-12-03,-26%
2011-12-04 - 2011-12-10,-22%
2011-12-11 - 2011-12-17,-25%
2011-12-18 - 2011-12-24,-23%
2011-12-25 - 2011-12-31,-22%



Top searches
craigslist,100
calculator,55
map,40
calendar,35
isbn,35
dictionary,30
trash can,25
planner,25
graphing calculator,20
ti-84,20
ti 84,20
google,20
maps,15
quotes,15
torque wrench,15
ti-84 plus,10
office 2011,10
earth,10
texas instruments,10
ti-83,10



Rising searches
rapunzel,+650%
office 2011,+250%
translate,+250%
craigslist,+180%
mermaid,+80%
google,+70%
ruler,+60%
ti 84 plus,+50%
anthropologie,+40%
maps,+40%



