Web Search interest
United States; Past 90 days

Interest over time
Day,Reference
2014-06-18,+0%
2014-06-19,-2%
2014-06-20,-4%
2014-06-21,-10%
2014-06-22,-12%
2014-06-23,-2%
2014-06-24,+0%
2014-06-25,-4%
2014-06-26,-1%
2014-06-27,-4%
2014-06-28,-8%
2014-06-29,-10%
2014-06-30,-6%
2014-07-01,-5%
2014-07-02,-4%
2014-07-03,-5%
2014-07-04,-8%
2014-07-05,-11%
2014-07-06,-8%
2014-07-07,-1%
2014-07-08,-2%
2014-07-09,-4%
2014-07-10,-2%
2014-07-11,-2%
2014-07-12,-10%
2014-07-13,-12%
2014-07-14,-5%
2014-07-15,-4%
2014-07-16,-1%
2014-07-17,+0%
2014-07-18,-4%
2014-07-19,-8%
2014-07-20,-8%
2014-07-21,-4%
2014-07-22,-1%
2014-07-23,+1%
2014-07-24,-1%
2014-07-25,-2%
2014-07-26,-8%
2014-07-27,-7%
2014-07-28,-1%
2014-07-29,-5%
2014-07-30,-2%
2014-07-31,-2%
2014-08-01,-5%
2014-08-02,-11%
2014-08-03,-12%
2014-08-04,-5%
2014-08-05,-1%
2014-08-06,-1%
2014-08-07,+0%
2014-08-08,-8%
2014-08-09,-10%
2014-08-10,-10%
2014-08-11,-2%
2014-08-12,-5%
2014-08-13,-1%
2014-08-14,+2%
2014-08-15,+0%
2014-08-16,-8%
2014-08-17,-11%
2014-08-18,+1%
2014-08-19,+2%
2014-08-20,+4%
2014-08-21,+2%
2014-08-22,+1%
2014-08-23,-7%
2014-08-24,-7%
2014-08-25,+4%
2014-08-26,+10%
2014-08-27,+10%
2014-08-28,+11%
2014-08-29,+11%
2014-08-30,-11%
2014-08-31,-10%
2014-09-01,-5%
2014-09-02,+11%
2014-09-03,+14%
2014-09-04,+16%
2014-09-05,+8%
2014-09-06,-6%
2014-09-07,-6%
2014-09-08,+17%
2014-09-09,+17%
2014-09-10,+20%
2014-09-11,+18%
2014-09-12,+12%
2014-09-13,-10%
2014-09-14,-4%
2014-09-15, 
2014-09-16, 
2014-09-17, 



Top searches
craigslist,100
google,35
maps,30
the,30
quotes,25
map,20
translate,20
definition,15
maps google,15
google translate,10
library,10
calendar,10
dictionary,5
directions,5
translator,5
bing,5
history,5
translation,5
white pages,5
calculator,5



Rising searches
the fappening,Breakout
august 2014 calendar,+650%
traductor de google,+250%
flipkart,+160%
july 2014 calendar,+160%
spanish translator,+150%
craigslist la,+80%
traductor google,+60%
mymathlab,+50%
reverse phone lookup,+50%



