News Search interest
United States; Past 30 days

Interest over time
Day,Arts & Entertainment
2014-08-19,+0%
2014-08-20,-4%
2014-08-21,-7%
2014-08-22,+2%
2014-08-23,+11%
2014-08-24,+4%
2014-08-25,+23%
2014-08-26,+14%
2014-08-27,+10%
2014-08-28,+0%
2014-08-29,-5%
2014-08-30,-2%
2014-08-31,-2%
2014-09-01,+5%
2014-09-02,-1%
2014-09-03,-9%
2014-09-04,-12%
2014-09-05,-12%
2014-09-06,-4%
2014-09-07,-5%
2014-09-08,-21%
2014-09-09,-19%
2014-09-10,-15%
2014-09-11,-17%
2014-09-12,-14%
2014-09-13,-4%
2014-09-14,-6%
2014-09-15,-17%
2014-09-16,-10%
2014-09-17, 
2014-09-18, 



Top searches
youtube,100
nicki minaj,70
robin williams,65
miley cyrus,65
taylor swift,65
beyonce,55
angelina jolie,50
emmy,35
jennifer lawrence,35
selena gomez,35
kardashian,35
josh gordon,35
music,30
movies,30
you,30
mtv,30
netflix,30
kanye west,30
suge knight,30
apple,25



Rising searches
joan rivers,Breakout
suge knight,Breakout
emmy awards,+2,650%
emmy,+1,200%
josh gordon,+600%
jennifer lawrence,+500%
angelina jolie,+450%
mtv,+350%
apple,+300%
taylor swift,+180%



