Web Search interest
United States; 2011

Interest over time
Week,Shopping
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,-6%
2011-01-16 - 2011-01-22,-3%
2011-01-23 - 2011-01-29,-6%
2011-01-30 - 2011-02-05,-6%
2011-02-06 - 2011-02-12,-5%
2011-02-13 - 2011-02-19,-2%
2011-02-20 - 2011-02-26,-6%
2011-02-27 - 2011-03-05,-8%
2011-03-06 - 2011-03-12,-6%
2011-03-13 - 2011-03-19,-8%
2011-03-20 - 2011-03-26,-6%
2011-03-27 - 2011-04-02,-8%
2011-04-03 - 2011-04-09,-3%
2011-04-10 - 2011-04-16,-6%
2011-04-17 - 2011-04-23,-2%
2011-04-24 - 2011-04-30,-2%
2011-05-01 - 2011-05-07,+0%
2011-05-08 - 2011-05-14,+0%
2011-05-15 - 2011-05-21,-5%
2011-05-22 - 2011-05-28,-5%
2011-05-29 - 2011-06-04,+0%
2011-06-05 - 2011-06-11,-2%
2011-06-12 - 2011-06-18,-2%
2011-06-19 - 2011-06-25,-3%
2011-06-26 - 2011-07-02,-2%
2011-07-03 - 2011-07-09,-5%
2011-07-10 - 2011-07-16,-3%
2011-07-17 - 2011-07-23,-2%
2011-07-24 - 2011-07-30,-3%
2011-07-31 - 2011-08-06,-5%
2011-08-07 - 2011-08-13,-2%
2011-08-14 - 2011-08-20,+2%
2011-08-21 - 2011-08-27,-5%
2011-08-28 - 2011-09-03,-6%
2011-09-04 - 2011-09-10,+0%
2011-09-11 - 2011-09-17,-3%
2011-09-18 - 2011-09-24,+0%
2011-09-25 - 2011-10-01,+0%
2011-10-02 - 2011-10-08,+0%
2011-10-09 - 2011-10-15,+2%
2011-10-16 - 2011-10-22,+6%
2011-10-23 - 2011-10-29,+5%
2011-10-30 - 2011-11-05,+0%
2011-11-06 - 2011-11-12,+8%
2011-11-13 - 2011-11-19,+11%
2011-11-20 - 2011-11-26,+52%
2011-11-27 - 2011-12-03,+29%
2011-12-04 - 2011-12-10,+24%
2011-12-11 - 2011-12-17,+30%
2011-12-18 - 2011-12-24,+35%
2011-12-25 - 2011-12-31,+27%



Top searches
ebay,100
walmart,90
amazon,85
coupons,80
how to,75
netflix,75
shoes,70
target,60
best buy,50
pandora,40
xbox,35
ipod,30
nike,30
kohls,30
macys,25
dresses,25
sears,25
jcpenney,25
costco,25
black friday,20



Rising searches
black friday 2011,Breakout
etsy,+90%
nick,+80%
kindle,+70%
jordan,+60%
macys,+60%
netflix,+60%
redbox,+60%
amazon,+50%
pandora,+50%



