YouTube Search interest
United States; Past 90 days

Interest over time
Day,Business & Industrial
2014-06-20,+0%
2014-06-21,-1%
2014-06-22,-3%
2014-06-23,-3%
2014-06-24,+0%
2014-06-25,-1%
2014-06-26,+3%
2014-06-27,+3%
2014-06-28,+0%
2014-06-29,+1%
2014-06-30,+4%
2014-07-01,+3%
2014-07-02,+4%
2014-07-03,+1%
2014-07-04,-1%
2014-07-05,+1%
2014-07-06,-4%
2014-07-07,+6%
2014-07-08,+3%
2014-07-09,+0%
2014-07-10,+4%
2014-07-11,+3%
2014-07-12,-4%
2014-07-13,+4%
2014-07-14,+3%
2014-07-15,+1%
2014-07-16,+0%
2014-07-17,-1%
2014-07-18,+1%
2014-07-19,-1%
2014-07-20,+3%
2014-07-21,+7%
2014-07-22,+4%
2014-07-23,+8%
2014-07-24,+1%
2014-07-25,-1%
2014-07-26,+3%
2014-07-27,-3%
2014-07-28,+3%
2014-07-29,+0%
2014-07-30,+4%
2014-07-31,+1%
2014-08-01,+0%
2014-08-02,-4%
2014-08-03,+0%
2014-08-04,+0%
2014-08-05,+0%
2014-08-06,+4%
2014-08-07,+1%
2014-08-08,+0%
2014-08-09,+6%
2014-08-10,+4%
2014-08-11,+13%
2014-08-12,+6%
2014-08-13,+4%
2014-08-14,+7%
2014-08-15,+6%
2014-08-16,+1%
2014-08-17,+1%
2014-08-18,+7%
2014-08-19,+13%
2014-08-20,+4%
2014-08-21,+6%
2014-08-22,+0%
2014-08-23,+1%
2014-08-24,+0%
2014-08-25,+32%
2014-08-26,+39%
2014-08-27,+18%
2014-08-28,+10%
2014-08-29,+8%
2014-08-30,+1%
2014-08-31,+1%
2014-09-01,+6%
2014-09-02,+1%
2014-09-03,+1%
2014-09-04,+7%
2014-09-05,+4%
2014-09-06,-3%
2014-09-07,+0%
2014-09-08,+4%
2014-09-09,+1%
2014-09-10,+3%
2014-09-11,+4%
2014-09-12,+4%
2014-09-13,-6%
2014-09-14,+0%
2014-09-15,+4%
2014-09-16,+6%
2014-09-17,+6%
2014-09-18, 
2014-09-19, 



Top searches
minecraft,100
trailers,70
space,50
syndicate project,45
motivation,40
vma 2014,35
ferguson,30
survival,30
timber,30
tank,25
goat simulator,25
frankie,25
trailers 2014,25
honest trailers,20
trucks,20
mediocre,20
the forest,20
impressions,20
the voice,20
pbg,15



Rising searches
beyonce vma 2014,Breakout
vma 2014,Breakout
mediocre,+2,650%
no mediocre,+2,250%
ferguson,+650%
agt,+300%
24 hours,+130%
frankie,+70%
impressions,+60%
vic mensa,+60%



