Image Search interest
United States; Past 90 days

Interest over time
Day,Finance
2014-06-19,+0%
2014-06-20,+2%
2014-06-21,-7%
2014-06-22,-17%
2014-06-23,-7%
2014-06-24,-6%
2014-06-25,-1%
2014-06-26,+1%
2014-06-27,-2%
2014-06-28,-16%
2014-06-29,-23%
2014-06-30,-4%
2014-07-01,+1%
2014-07-02,+4%
2014-07-03,-1%
2014-07-04,-25%
2014-07-05,-16%
2014-07-06,-19%
2014-07-07,-4%
2014-07-08,+1%
2014-07-09,+2%
2014-07-10,-1%
2014-07-11,-1%
2014-07-12,-20%
2014-07-13,-23%
2014-07-14,-2%
2014-07-15,+6%
2014-07-16,+6%
2014-07-17,-4%
2014-07-18,+0%
2014-07-19,-20%
2014-07-20,+1%
2014-07-21,+23%
2014-07-22,+9%
2014-07-23,+0%
2014-07-24,-2%
2014-07-25,+2%
2014-07-26,-17%
2014-07-27,-17%
2014-07-28,+2%
2014-07-29,+0%
2014-07-30,-1%
2014-07-31,+0%
2014-08-01,-4%
2014-08-02,-17%
2014-08-03,-25%
2014-08-04,+2%
2014-08-05,+1%
2014-08-06,+7%
2014-08-07,+4%
2014-08-08,+5%
2014-08-09,-12%
2014-08-10,-22%
2014-08-11,-10%
2014-08-12,-6%
2014-08-13,+5%
2014-08-14,-4%
2014-08-15,-5%
2014-08-16,-11%
2014-08-17,-25%
2014-08-18,+10%
2014-08-19,-7%
2014-08-20,+5%
2014-08-21,+4%
2014-08-22,+7%
2014-08-23,-20%
2014-08-24,-21%
2014-08-25,+5%
2014-08-26,+6%
2014-08-27,+1%
2014-08-28,-5%
2014-08-29,+0%
2014-08-30,-20%
2014-08-31,-20%
2014-09-01,-22%
2014-09-02,-11%
2014-09-03,+0%
2014-09-04,-1%
2014-09-05,+4%
2014-09-06,-17%
2014-09-07,-21%
2014-09-08,-1%
2014-09-09,-6%
2014-09-10,-4%
2014-09-11,+5%
2014-09-12,-2%
2014-09-13,-15%
2014-09-14,-23%
2014-09-15,+0%
2014-09-16,-1%
2014-09-17, 
2014-09-18, 



Top searches
mlp,100
bank,95
card,85
money,60
insurance,55
rates,50
chase,40
credit card,35
instagram rates,35
rate,25
banks,25
dollar,20
fx,20
wells fargo,20
bank of america,20
bts,20
cash,15
oc,15
payday,15
currency,15



Rising searches
skye bartusiak,Breakout
skye mccole,Breakout
skye mccole bartusiak,Breakout
ronnie banks,+110%
instagram rates,+80%
fx,+70%
rates,+70%
group rates,+50%
payday 2,+50%
taylor schilling,+50%



