YouTube Search interest
United States; 2013

Interest over time
Week,Business & Industrial
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+8%
2013-01-20 - 2013-01-26,+0%
2013-01-27 - 2013-02-02,+4%
2013-02-03 - 2013-02-09,+4%
2013-02-10 - 2013-02-16,+37%
2013-02-17 - 2013-02-23,+12%
2013-02-24 - 2013-03-02,+29%
2013-03-03 - 2013-03-09,+12%
2013-03-10 - 2013-03-16,+8%
2013-03-17 - 2013-03-23,+4%
2013-03-24 - 2013-03-30,+6%
2013-03-31 - 2013-04-06,+4%
2013-04-07 - 2013-04-13,+2%
2013-04-14 - 2013-04-20,+10%
2013-04-21 - 2013-04-27,+8%
2013-04-28 - 2013-05-04,+6%
2013-05-05 - 2013-05-11,+4%
2013-05-12 - 2013-05-18,+10%
2013-05-19 - 2013-05-25,+6%
2013-05-26 - 2013-06-01,+6%
2013-06-02 - 2013-06-08,+6%
2013-06-09 - 2013-06-15,+2%
2013-06-16 - 2013-06-22,+8%
2013-06-23 - 2013-06-29,+8%
2013-06-30 - 2013-07-06,+8%
2013-07-07 - 2013-07-13,+12%
2013-07-14 - 2013-07-20,+6%
2013-07-21 - 2013-07-27,+6%
2013-07-28 - 2013-08-03,+6%
2013-08-04 - 2013-08-10,+6%
2013-08-11 - 2013-08-17,+12%
2013-08-18 - 2013-08-24,+8%
2013-08-25 - 2013-08-31,+96%
2013-09-01 - 2013-09-07,+29%
2013-09-08 - 2013-09-14,+18%
2013-09-15 - 2013-09-21,+16%
2013-09-22 - 2013-09-28,+24%
2013-09-29 - 2013-10-05,+12%
2013-10-06 - 2013-10-12,+16%
2013-10-13 - 2013-10-19,+12%
2013-10-20 - 2013-10-26,+10%
2013-10-27 - 2013-11-02,+8%
2013-11-03 - 2013-11-09,+12%
2013-11-10 - 2013-11-16,+12%
2013-11-17 - 2013-11-23,+14%
2013-11-24 - 2013-11-30,+18%
2013-12-01 - 2013-12-07,+12%
2013-12-08 - 2013-12-14,+10%
2013-12-15 - 2013-12-21,+12%
2013-12-22 - 2013-12-28,+8%
2013-12-29 - 2014-01-04,+14%



Top searches
vma 2013,100
miley cyrus,90
vma miley cyrus,85
space,45
goat,40
syndicate project,35
trailers,30
goats,30
tractor,25
survival,25
motivation,25
oscars,25
grammys 2013,20
timber,20
iphone 5s,20
tank,15
mine,15
trucks,15
kevin hart,15
2013 oscars,15



Rising searches
grammys 2013,Breakout
iphone 5s,Breakout
miley cyrus,Breakout
vma 2013,Breakout
vma miley cyrus,Breakout
timber,+900%
goats,+250%
goat,+150%
oscars,+150%
space,+50%



