Image Search interest
United States; 2011

Interest over time
Week,Science
2011-01-02 - 2011-01-08,+0%
2011-01-09 - 2011-01-15,+9%
2011-01-16 - 2011-01-22,+5%
2011-01-23 - 2011-01-29,+19%
2011-01-30 - 2011-02-05,+9%
2011-02-06 - 2011-02-12,+16%
2011-02-13 - 2011-02-19,+19%
2011-02-20 - 2011-02-26,+16%
2011-02-27 - 2011-03-05,+19%
2011-03-06 - 2011-03-12,+20%
2011-03-13 - 2011-03-19,+17%
2011-03-20 - 2011-03-26,+19%
2011-03-27 - 2011-04-02,+22%
2011-04-03 - 2011-04-09,+17%
2011-04-10 - 2011-04-16,+23%
2011-04-17 - 2011-04-23,+13%
2011-04-24 - 2011-04-30,+19%
2011-05-01 - 2011-05-07,+17%
2011-05-08 - 2011-05-14,+23%
2011-05-15 - 2011-05-21,+22%
2011-05-22 - 2011-05-28,+19%
2011-05-29 - 2011-06-04,+8%
2011-06-05 - 2011-06-11,+0%
2011-06-12 - 2011-06-18,-8%
2011-06-19 - 2011-06-25,-20%
2011-06-26 - 2011-07-02,-20%
2011-07-03 - 2011-07-09,-20%
2011-07-10 - 2011-07-16,-19%
2011-07-17 - 2011-07-23,-17%
2011-07-24 - 2011-07-30,-17%
2011-07-31 - 2011-08-06,-19%
2011-08-07 - 2011-08-13,-20%
2011-08-14 - 2011-08-20,-11%
2011-08-21 - 2011-08-27,+3%
2011-08-28 - 2011-09-03,+11%
2011-09-04 - 2011-09-10,+17%
2011-09-11 - 2011-09-17,+27%
2011-09-18 - 2011-09-24,+34%
2011-09-25 - 2011-10-01,+34%
2011-10-02 - 2011-10-08,+56%
2011-10-09 - 2011-10-15,+30%
2011-10-16 - 2011-10-22,+31%
2011-10-23 - 2011-10-29,+23%
2011-10-30 - 2011-11-05,+22%
2011-11-06 - 2011-11-12,+19%
2011-11-13 - 2011-11-19,+22%
2011-11-20 - 2011-11-26,-12%
2011-11-27 - 2011-12-03,+16%
2011-12-04 - 2011-12-10,+22%
2011-12-11 - 2011-12-17,+11%
2011-12-18 - 2011-12-24,-27%
2011-12-25 - 2011-12-31,-42%



Top searches
spider,100
periodic table,85
water,70
cell,70
animals,70
earth,60
butterfly,60
bugs,55
ocean,50
steve jobs,50
moon,45
science,45
sea,45
brown recluse,45
math,45
dinosaur,45
brain,40
space,40
skeleton,30
spiders,30



Rising searches
steve jobs,+600%
cicada,+110%
human centipede,+80%
centipede,+70%
narwhal,+70%
brown recluse,+60%
spider bite,+60%
angles,+40%
bed bugs,+40%
big bang theory,+40%



