News Search interest
United States; 2009

Interest over time
Week,Hobbies & Leisure
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,-5%
2009-01-18 - 2009-01-24,-16%
2009-01-25 - 2009-01-31,-2%
2009-02-01 - 2009-02-07,+133%
2009-02-08 - 2009-02-14,+70%
2009-02-15 - 2009-02-21,+26%
2009-02-22 - 2009-02-28,+26%
2009-03-01 - 2009-03-07,-2%
2009-03-08 - 2009-03-14,-30%
2009-03-15 - 2009-03-21,-30%
2009-03-22 - 2009-03-28,-21%
2009-03-29 - 2009-04-04,+5%
2009-04-05 - 2009-04-11,-19%
2009-04-12 - 2009-04-18,+5%
2009-04-19 - 2009-04-25,+9%
2009-04-26 - 2009-05-02,-16%
2009-05-03 - 2009-05-09,+9%
2009-05-10 - 2009-05-16,+14%
2009-05-17 - 2009-05-23,-16%
2009-05-24 - 2009-05-30,-14%
2009-05-31 - 2009-06-06,-2%
2009-06-07 - 2009-06-13,-26%
2009-06-14 - 2009-06-20,-26%
2009-06-21 - 2009-06-27,-44%
2009-06-28 - 2009-07-04,-26%
2009-07-05 - 2009-07-11,+7%
2009-07-12 - 2009-07-18,+0%
2009-07-19 - 2009-07-25,+14%
2009-07-26 - 2009-08-01,+2%
2009-08-02 - 2009-08-08,-19%
2009-08-09 - 2009-08-15,-23%
2009-08-16 - 2009-08-22,-14%
2009-08-23 - 2009-08-29,+21%
2009-08-30 - 2009-09-05,-9%
2009-09-06 - 2009-09-12,-33%
2009-09-13 - 2009-09-19,-40%
2009-09-20 - 2009-09-26,-33%
2009-09-27 - 2009-10-03,-35%
2009-10-04 - 2009-10-10,+9%
2009-10-11 - 2009-10-17,-2%
2009-10-18 - 2009-10-24,-26%
2009-10-25 - 2009-10-31,-9%
2009-11-01 - 2009-11-07,-26%
2009-11-08 - 2009-11-14,-26%
2009-11-15 - 2009-11-21,-35%
2009-11-22 - 2009-11-28,-26%
2009-11-29 - 2009-12-05,-28%
2009-12-06 - 2009-12-12,-14%
2009-12-13 - 2009-12-19,-19%
2009-12-20 - 2009-12-26,+12%
2009-12-27 - 2010-01-02,+9%



Top searches
lottery,100
dog,95
mega millions,65
phelps,60
michael phelps,50
armstrong,50
lance armstrong,50
tour de france,45
preakness,40
groundhog,40
marathon,40
powerball,40
new year,35
wedding,35
groundhog day,30
nobel,30
dogs,30
westminster dog show,30
lotto,25
nobel prize,25



Rising searches
nobel peace prize,+1,250%
florida lottery,+800%
nobel prize,+190%
armstrong,+120%
nobel,+120%
lance armstrong,+110%
westminster dog show,+100%
preakness,+90%
dog,+60%
groundhog,+60%



