YouTube Search interest
United States; 2012

Interest over time
Week,Books & Literature
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+6%
2012-01-15 - 2012-01-21,+14%
2012-01-22 - 2012-01-28,+2%
2012-01-29 - 2012-02-04,+10%
2012-02-05 - 2012-02-11,+5%
2012-02-12 - 2012-02-18,+8%
2012-02-19 - 2012-02-25,+7%
2012-02-26 - 2012-03-03,+18%
2012-03-04 - 2012-03-10,+12%
2012-03-11 - 2012-03-17,+13%
2012-03-18 - 2012-03-24,+19%
2012-03-25 - 2012-03-31,+11%
2012-04-01 - 2012-04-07,+7%
2012-04-08 - 2012-04-14,+7%
2012-04-15 - 2012-04-21,+7%
2012-04-22 - 2012-04-28,+6%
2012-04-29 - 2012-05-05,+4%
2012-05-06 - 2012-05-12,+10%
2012-05-13 - 2012-05-19,+10%
2012-05-20 - 2012-05-26,+14%
2012-05-27 - 2012-06-02,+10%
2012-06-03 - 2012-06-09,+6%
2012-06-10 - 2012-06-16,+1%
2012-06-17 - 2012-06-23,+2%
2012-06-24 - 2012-06-30,-5%
2012-07-01 - 2012-07-07,-7%
2012-07-08 - 2012-07-14,-7%
2012-07-15 - 2012-07-21,-2%
2012-07-22 - 2012-07-28,-2%
2012-07-29 - 2012-08-04,-2%
2012-08-05 - 2012-08-11,-4%
2012-08-12 - 2012-08-18,-4%
2012-08-19 - 2012-08-25,-1%
2012-08-26 - 2012-09-01,+5%
2012-09-02 - 2012-09-08,+4%
2012-09-09 - 2012-09-15,+4%
2012-09-16 - 2012-09-22,+4%
2012-09-23 - 2012-09-29,+5%
2012-09-30 - 2012-10-06,+10%
2012-10-07 - 2012-10-13,+6%
2012-10-14 - 2012-10-20,+8%
2012-10-21 - 2012-10-27,+13%
2012-10-28 - 2012-11-03,+7%
2012-11-04 - 2012-11-10,+6%
2012-11-11 - 2012-11-17,+8%
2012-11-18 - 2012-11-24,+5%
2012-11-25 - 2012-12-01,+15%
2012-12-02 - 2012-12-08,+13%
2012-12-09 - 2012-12-15,+13%
2012-12-16 - 2012-12-22,+11%
2012-12-23 - 2012-12-29,+2%
2012-12-30 - 2013-01-05,+6%



Top searches
emmanuel,100
emmanuel hudson,85
harry potter,80
game of thrones,80
quotes,55
hopsin,55
audiobook,40
romeo,35
vampire diaries,35
poetry,35
questions,35
questions emmanuel hudson,30
romeo and juliet,30
gatsby,25
great gatsby,25
sherlock,25
pretty little liars,25
lorax,25
the lorax,25
sherlock holmes,20



Rising searches
emmanuel hudson,Breakout
questions emmanuel hudson,Breakout
questions,+3,600%
emmanuel,+1,250%
great gatsby,+400%
lorax,+400%
the lorax,+400%
gatsby,+350%
game of thrones,+140%
hopsin,+120%



