Google Shopping interest
United States; 2009

Interest over time
Week,Reference
2009-01-04 - 2009-01-10,+0%
2009-01-11 - 2009-01-17,+6%
2009-01-18 - 2009-01-24,+5%
2009-01-25 - 2009-01-31,+1%
2009-02-01 - 2009-02-07,-19%
2009-02-08 - 2009-02-14,-28%
2009-02-15 - 2009-02-21,-32%
2009-02-22 - 2009-02-28,-34%
2009-03-01 - 2009-03-07,-35%
2009-03-08 - 2009-03-14,-38%
2009-03-15 - 2009-03-21,-34%
2009-03-22 - 2009-03-28,-30%
2009-03-29 - 2009-04-04,-28%
2009-04-05 - 2009-04-11,-32%
2009-04-12 - 2009-04-18,-35%
2009-04-19 - 2009-04-25,-37%
2009-04-26 - 2009-05-02,-33%
2009-05-03 - 2009-05-09,-32%
2009-05-10 - 2009-05-16,-30%
2009-05-17 - 2009-05-23,-29%
2009-05-24 - 2009-05-30,-33%
2009-05-31 - 2009-06-06,-30%
2009-06-07 - 2009-06-13,-32%
2009-06-14 - 2009-06-20,-32%
2009-06-21 - 2009-06-27,-37%
2009-06-28 - 2009-07-04,-41%
2009-07-05 - 2009-07-11,-42%
2009-07-12 - 2009-07-18,-38%
2009-07-19 - 2009-07-25,-39%
2009-07-26 - 2009-08-01,-33%
2009-08-02 - 2009-08-08,-27%
2009-08-09 - 2009-08-15,-25%
2009-08-16 - 2009-08-22,-11%
2009-08-23 - 2009-08-29,+27%
2009-08-30 - 2009-09-05,+13%
2009-09-06 - 2009-09-12,-9%
2009-09-13 - 2009-09-19,+5%
2009-09-20 - 2009-09-26,-24%
2009-09-27 - 2009-10-03,-9%
2009-10-04 - 2009-10-10,-6%
2009-10-11 - 2009-10-17,-9%
2009-10-18 - 2009-10-24,-14%
2009-10-25 - 2009-10-31,-10%
2009-11-01 - 2009-11-07,-34%
2009-11-08 - 2009-11-14,-39%
2009-11-15 - 2009-11-21,-39%
2009-11-22 - 2009-11-28,-51%
2009-11-29 - 2009-12-05,-42%
2009-12-06 - 2009-12-12,-41%
2009-12-13 - 2009-12-19,-37%
2009-12-20 - 2009-12-26,-44%
2009-12-27 - 2010-01-02,-38%



Top searches
wikipedia,100
dictionary,50
calendar,50
craigslist,45
flag,45
books,45
map,40
graphing calculator,25
craigs list,25
trash can,20
planner,20
ti-84,20
ddr,15
yellow pages,15
maps,15
ti 84,15
earth,15
torque wrench,15
ti-83,15
rosetta stone,15



Rising searches
lego advent calendar,+1,450%
wikipedia,+800%
visio,+200%
2009 calendar,+90%
unicycle,+70%
serial cable,+60%
ti-84 plus,+60%
craiglist,+50%
ti-84 calculator,+50%
graphing calculator,+40%



