YouTube Search interest
United States; 2013

Interest over time
Week,Beauty & Fitness
2013-01-06 - 2013-01-12,+0%
2013-01-13 - 2013-01-19,+3%
2013-01-20 - 2013-01-26,+3%
2013-01-27 - 2013-02-02,-2%
2013-02-03 - 2013-02-09,-3%
2013-02-10 - 2013-02-16,-6%
2013-02-17 - 2013-02-23,-2%
2013-02-24 - 2013-03-02,+2%
2013-03-03 - 2013-03-09,-1%
2013-03-10 - 2013-03-16,+1%
2013-03-17 - 2013-03-23,-2%
2013-03-24 - 2013-03-30,-1%
2013-03-31 - 2013-04-06,-2%
2013-04-07 - 2013-04-13,-5%
2013-04-14 - 2013-04-20,-3%
2013-04-21 - 2013-04-27,-1%
2013-04-28 - 2013-05-04,-2%
2013-05-05 - 2013-05-11,-4%
2013-05-12 - 2013-05-18,-2%
2013-05-19 - 2013-05-25,-2%
2013-05-26 - 2013-06-01,+2%
2013-06-02 - 2013-06-08,+1%
2013-06-09 - 2013-06-15,-3%
2013-06-16 - 2013-06-22,+4%
2013-06-23 - 2013-06-29,+1%
2013-06-30 - 2013-07-06,+0%
2013-07-07 - 2013-07-13,+8%
2013-07-14 - 2013-07-20,+5%
2013-07-21 - 2013-07-27,+4%
2013-07-28 - 2013-08-03,+8%
2013-08-04 - 2013-08-10,+4%
2013-08-11 - 2013-08-17,+3%
2013-08-18 - 2013-08-24,+0%
2013-08-25 - 2013-08-31,-8%
2013-09-01 - 2013-09-07,-3%
2013-09-08 - 2013-09-14,-6%
2013-09-15 - 2013-09-21,+2%
2013-09-22 - 2013-09-28,-4%
2013-09-29 - 2013-10-05,-2%
2013-10-06 - 2013-10-12,-4%
2013-10-13 - 2013-10-19,-5%
2013-10-20 - 2013-10-26,-3%
2013-10-27 - 2013-11-02,-4%
2013-11-03 - 2013-11-09,-8%
2013-11-10 - 2013-11-16,-5%
2013-11-17 - 2013-11-23,-9%
2013-11-24 - 2013-11-30,-14%
2013-12-01 - 2013-12-07,-10%
2013-12-08 - 2013-12-14,-14%
2013-12-15 - 2013-12-21,-13%
2013-12-22 - 2013-12-28,-10%
2013-12-29 - 2014-01-04,-1%



Top searches
hair,100
workout,55
makeup,50
hairstyles,25
makeup tutorial,20
yoga,20
natural hair,15
zumba,10
nail,10
abs,10
hair tutorial,10
versace,10
versace versace,10
nails,10
crossfit,10
beauty,10
tattoo,10
sosa,10
key and peele,10
michelle phan,5



Rising searches
drake versace,Breakout
versace migos,Breakout
versace migos drake,Breakout
versace,+4,850%
versace versace,+4,850%
tom ford,+1,900%
key and peele,+100%
minecraft style,+80%
cardio workout,+70%
yoga for beginners,+60%



