Google Shopping interest
United States; 2012

Interest over time
Week,Sports
2012-01-01 - 2012-01-07,+0%
2012-01-08 - 2012-01-14,+4%
2012-01-15 - 2012-01-21,+4%
2012-01-22 - 2012-01-28,+7%
2012-01-29 - 2012-02-04,+17%
2012-02-05 - 2012-02-11,+12%
2012-02-12 - 2012-02-18,+5%
2012-02-19 - 2012-02-25,+11%
2012-02-26 - 2012-03-03,+12%
2012-03-04 - 2012-03-10,+12%
2012-03-11 - 2012-03-17,+17%
2012-03-18 - 2012-03-24,+20%
2012-03-25 - 2012-03-31,+16%
2012-04-01 - 2012-04-07,+19%
2012-04-08 - 2012-04-14,+20%
2012-04-15 - 2012-04-21,+23%
2012-04-22 - 2012-04-28,+16%
2012-04-29 - 2012-05-05,+13%
2012-05-06 - 2012-05-12,+15%
2012-05-13 - 2012-05-19,+15%
2012-05-20 - 2012-05-26,+23%
2012-05-27 - 2012-06-02,+20%
2012-06-03 - 2012-06-09,+19%
2012-06-10 - 2012-06-16,+23%
2012-06-17 - 2012-06-23,+24%
2012-06-24 - 2012-06-30,+21%
2012-07-01 - 2012-07-07,+28%
2012-07-08 - 2012-07-14,+28%
2012-07-15 - 2012-07-21,+27%
2012-07-22 - 2012-07-28,+27%
2012-07-29 - 2012-08-04,+32%
2012-08-05 - 2012-08-11,+33%
2012-08-12 - 2012-08-18,+28%
2012-08-19 - 2012-08-25,+23%
2012-08-26 - 2012-09-01,+29%
2012-09-02 - 2012-09-08,+19%
2012-09-09 - 2012-09-15,+21%
2012-09-16 - 2012-09-22,+15%
2012-09-23 - 2012-09-29,+13%
2012-09-30 - 2012-10-06,+11%
2012-10-07 - 2012-10-13,+7%
2012-10-14 - 2012-10-20,+5%
2012-10-21 - 2012-10-27,+1%
2012-10-28 - 2012-11-03,+4%
2012-11-04 - 2012-11-10,+0%
2012-11-11 - 2012-11-17,-1%
2012-11-18 - 2012-11-24,-7%
2012-11-25 - 2012-12-01,-3%
2012-12-02 - 2012-12-08,+4%
2012-12-09 - 2012-12-15,+9%
2012-12-16 - 2012-12-22,+13%
2012-12-23 - 2012-12-29,+8%
2012-12-30 - 2013-01-05,+9%



Top searches
bike,100
golf,50
nike,50
bicycle,40
baseball,35
basketball,35
bikes,35
football,30
new balance,20
snowboard,20
trek,15
mountain bike,15
bmx,15
specialized,10
skateboard,10
schwinn,10
shimano,10
nba,10
trampoline,10
nfl,10



Rising searches
grecian sandals,Breakout
lebron 9,+1,450%
new balance minimus,+170%
ny giants,+170%
nike free run,+140%
49ers,+90%
baseball bat,+80%
9mm ammo,+50%
cabelas,+50%
half,+50%



