YouTube Search interest
United States; Past 90 days

Interest over time
Day,Jobs & Education
2014-06-20,+0%
2014-06-21,-14%
2014-06-22,-4%
2014-06-23,+1%
2014-06-24,-3%
2014-06-25,+1%
2014-06-26,-4%
2014-06-27,-9%
2014-06-28,-12%
2014-06-29,-14%
2014-06-30,-1%
2014-07-01,+1%
2014-07-02,-7%
2014-07-03,-4%
2014-07-04,-12%
2014-07-05,-19%
2014-07-06,-12%
2014-07-07,-1%
2014-07-08,+0%
2014-07-09,-1%
2014-07-10,+0%
2014-07-11,-9%
2014-07-12,-13%
2014-07-13,-12%
2014-07-14,-4%
2014-07-15,-1%
2014-07-16,+0%
2014-07-17,+1%
2014-07-18,-9%
2014-07-19,-13%
2014-07-20,-10%
2014-07-21,+0%
2014-07-22,+6%
2014-07-23,+4%
2014-07-24,+1%
2014-07-25,+1%
2014-07-26,-12%
2014-07-27,-7%
2014-07-28,+6%
2014-07-29,+6%
2014-07-30,+6%
2014-07-31,-1%
2014-08-01,+3%
2014-08-02,-6%
2014-08-03,-4%
2014-08-04,+4%
2014-08-05,+9%
2014-08-06,+13%
2014-08-07,+6%
2014-08-08,+6%
2014-08-09,-6%
2014-08-10,-4%
2014-08-11,+9%
2014-08-12,+7%
2014-08-13,+6%
2014-08-14,+7%
2014-08-15,+7%
2014-08-16,-6%
2014-08-17,+4%
2014-08-18,+22%
2014-08-19,+19%
2014-08-20,+12%
2014-08-21,+16%
2014-08-22,+13%
2014-08-23,+4%
2014-08-24,+0%
2014-08-25,+22%
2014-08-26,+25%
2014-08-27,+30%
2014-08-28,+28%
2014-08-29,+25%
2014-08-30,-3%
2014-08-31,+7%
2014-09-01,+6%
2014-09-02,+33%
2014-09-03,+33%
2014-09-04,+36%
2014-09-05,+29%
2014-09-06,+3%
2014-09-07,+9%
2014-09-08,+45%
2014-09-09,+39%
2014-09-10,+35%
2014-09-11,+30%
2014-09-12,+30%
2014-09-13,+6%
2014-09-14,+10%
2014-09-15,+38%
2014-09-16,+39%
2014-09-17,+41%
2014-09-18, 
2014-09-19, 



Top searches
school,100
high,50
summer,35
high school,35
college,30
vanoss,25
interview,25
abc,20
substitute teacher,15
kindergarten,15
abc song,15
back to school,15
monster,15
alphabet,10
test,10
study,10
key and peele,10
monster high,10
schoolhouse rock,10
studying music,10



Rising searches
summer break,+4,850%
als,+1,800%
back to school,+800%
morning routine,+180%
esl,+100%
notre dame,+90%
lentes carrera,+80%
minecraft school,+80%
high school football,+60%
monster school,+60%



