Google Shopping interest
United States; Past 90 days

Interest over time
Day,Online Communities
2014-06-20,+0%
2014-06-21,+4%
2014-06-22,+7%
2014-06-23,+7%
2014-06-24,-1%
2014-06-25,+2%
2014-06-26,+1%
2014-06-27,-1%
2014-06-28,+4%
2014-06-29,+17%
2014-06-30,+0%
2014-07-01,+6%
2014-07-02,+5%
2014-07-03,+6%
2014-07-04,+15%
2014-07-05,+19%
2014-07-06,-1%
2014-07-07,-2%
2014-07-08,-1%
2014-07-09,+2%
2014-07-10,-4%
2014-07-11,+2%
2014-07-12,+13%
2014-07-13,+5%
2014-07-14,-1%
2014-07-15,-2%
2014-07-16,+5%
2014-07-17,-1%
2014-07-18,+5%
2014-07-19,+15%
2014-07-20,+13%
2014-07-21,-2%
2014-07-22,-1%
2014-07-23,+4%
2014-07-24,+0%
2014-07-25,+2%
2014-07-26,+8%
2014-07-27,+6%
2014-07-28,-5%
2014-07-29,+5%
2014-07-30,+0%
2014-07-31,+1%
2014-08-01,+7%
2014-08-02,+2%
2014-08-03,+7%
2014-08-04,+1%
2014-08-05,+4%
2014-08-06,+4%
2014-08-07,+11%
2014-08-08,+0%
2014-08-09,-2%
2014-08-10,-1%
2014-08-11,-13%
2014-08-12,+5%
2014-08-13,+6%
2014-08-14,+5%
2014-08-15,+7%
2014-08-16,+12%
2014-08-17,+7%
2014-08-18,+15%
2014-08-19,+5%
2014-08-20,+5%
2014-08-21,+10%
2014-08-22,+8%
2014-08-23,+13%
2014-08-24,+8%
2014-08-25,+0%
2014-08-26,+6%
2014-08-27,+8%
2014-08-28,+2%
2014-08-29,+10%
2014-08-30,+14%
2014-08-31,+15%
2014-09-01,+10%
2014-09-02,+5%
2014-09-03,+13%
2014-09-04,+5%
2014-09-05,+7%
2014-09-06,+5%
2014-09-07,+10%
2014-09-08,-2%
2014-09-09,+4%
2014-09-10,+0%
2014-09-11,+5%
2014-09-12,+11%
2014-09-13,+4%
2014-09-14,+14%
2014-09-15,+5%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 
2014-09-19, 



Top searches
facebook facebook,100
facebook,100
facebook login,15
wallpaper,10
tumblr,10
louboutin,5
twitter,5
icon,5
mobile facebook,0
christian louboutin,0
wallpapers,0
pof,0
images,0
backgrounds,0
play doh,0
glitter,0
linkedin,0
ps2,0
mocospace,0
maui jim,0



Rising searches
facebook com,+200%
mobile facebook,+90%
linkedin,+70%
pof,+40%



