Web Search interest
United States; 2007

Interest over time
Week,Reference
2007-01-07 - 2007-01-13,+0%
2007-01-14 - 2007-01-20,-2%
2007-01-21 - 2007-01-27,+3%
2007-01-28 - 2007-02-03,+3%
2007-02-04 - 2007-02-10,+1%
2007-02-11 - 2007-02-17,+2%
2007-02-18 - 2007-02-24,-2%
2007-02-25 - 2007-03-03,+2%
2007-03-04 - 2007-03-10,+4%
2007-03-11 - 2007-03-17,+2%
2007-03-18 - 2007-03-24,-2%
2007-03-25 - 2007-03-31,+0%
2007-04-01 - 2007-04-07,-4%
2007-04-08 - 2007-04-14,-1%
2007-04-15 - 2007-04-21,-1%
2007-04-22 - 2007-04-28,-1%
2007-04-29 - 2007-05-05,+0%
2007-05-06 - 2007-05-12,-1%
2007-05-13 - 2007-05-19,-3%
2007-05-20 - 2007-05-26,-3%
2007-05-27 - 2007-06-02,-5%
2007-06-03 - 2007-06-09,-5%
2007-06-10 - 2007-06-16,-12%
2007-06-17 - 2007-06-23,-13%
2007-06-24 - 2007-06-30,-13%
2007-07-01 - 2007-07-07,-16%
2007-07-08 - 2007-07-14,-12%
2007-07-15 - 2007-07-21,-12%
2007-07-22 - 2007-07-28,-15%
2007-07-29 - 2007-08-04,-14%
2007-08-05 - 2007-08-11,-13%
2007-08-12 - 2007-08-18,-14%
2007-08-19 - 2007-08-25,-9%
2007-08-26 - 2007-09-01,-4%
2007-09-02 - 2007-09-08,-2%
2007-09-09 - 2007-09-15,+2%
2007-09-16 - 2007-09-22,+3%
2007-09-23 - 2007-09-29,+4%
2007-09-30 - 2007-10-06,+3%
2007-10-07 - 2007-10-13,+1%
2007-10-14 - 2007-10-20,+3%
2007-10-21 - 2007-10-27,+3%
2007-10-28 - 2007-11-03,+5%
2007-11-04 - 2007-11-10,+1%
2007-11-11 - 2007-11-17,+0%
2007-11-18 - 2007-11-24,-12%
2007-11-25 - 2007-12-01,+0%
2007-12-02 - 2007-12-08,+2%
2007-12-09 - 2007-12-15,-1%
2007-12-16 - 2007-12-22,-9%
2007-12-23 - 2007-12-29,-25%
2007-12-30 - 2008-01-05,-17%



Top searches
the,100
map,85
dictionary,80
craigslist,75
quotes,55
google,55
maps,50
wikipedia,30
translation,30
white pages,30
calendar,30
earth,25
google earth,20
translator,20
yellow pages,20
zip code,20
craigs list,20
french,15
google maps,15
spanish english,15



Rising searches
2008 calendar,+1,500%
map quest.com,+130%
calendar 2007,+110%
craigslist,+110%
daylight savings,+90%
daylight savings time,+90%
time change,+80%
wiki,+80%
craiglist,+70%
craigs list,+60%



