YouTube Search interest
United States; Past 12 months

Interest over time
Week,Computers & Electronics
2013-09-15 - 2013-09-21,+0%
2013-09-22 - 2013-09-28,-1%
2013-09-29 - 2013-10-05,-5%
2013-10-06 - 2013-10-12,-2%
2013-10-13 - 2013-10-19,-1%
2013-10-20 - 2013-10-26,-2%
2013-10-27 - 2013-11-02,-1%
2013-11-03 - 2013-11-09,-2%
2013-11-10 - 2013-11-16,+8%
2013-11-17 - 2013-11-23,+8%
2013-11-24 - 2013-11-30,+8%
2013-12-01 - 2013-12-07,+7%
2013-12-08 - 2013-12-14,+6%
2013-12-15 - 2013-12-21,+4%
2013-12-22 - 2013-12-28,+12%
2013-12-29 - 2014-01-04,+9%
2014-01-05 - 2014-01-11,+11%
2014-01-12 - 2014-01-18,+6%
2014-01-19 - 2014-01-25,+9%
2014-01-26 - 2014-02-01,+5%
2014-02-02 - 2014-02-08,+7%
2014-02-09 - 2014-02-15,+8%
2014-02-16 - 2014-02-22,+8%
2014-02-23 - 2014-03-01,+7%
2014-03-02 - 2014-03-08,+7%
2014-03-09 - 2014-03-15,+11%
2014-03-16 - 2014-03-22,+11%
2014-03-23 - 2014-03-29,+9%
2014-03-30 - 2014-04-05,+8%
2014-04-06 - 2014-04-12,+8%
2014-04-13 - 2014-04-19,+8%
2014-04-20 - 2014-04-26,+6%
2014-04-27 - 2014-05-03,-2%
2014-05-04 - 2014-05-10,-4%
2014-05-11 - 2014-05-17,-2%
2014-05-18 - 2014-05-24,-5%
2014-05-25 - 2014-05-31,-1%
2014-06-01 - 2014-06-07,+7%
2014-06-08 - 2014-06-14,+14%
2014-06-15 - 2014-06-21,+13%
2014-06-22 - 2014-06-28,+14%
2014-06-29 - 2014-07-05,+11%
2014-07-06 - 2014-07-12,+18%
2014-07-13 - 2014-07-19,+16%
2014-07-20 - 2014-07-26,+13%
2014-07-27 - 2014-08-02,+14%
2014-08-03 - 2014-08-09,+13%
2014-08-10 - 2014-08-16,+12%
2014-08-17 - 2014-08-23,+8%
2014-08-24 - 2014-08-30,+12%
2014-08-31 - 2014-09-06,+13%
2014-09-07 - 2014-09-13,+15%
2014-09-14 - 2014-09-20,+18%



Top searches
minecraft,100
xbox 360,70
one,50
ps4,40
photoshop,35
minecraft xbox,35
jailbreak,35
xbox one,30
kid ink,30
minecraft xbox 360,30
selfie,25
gaming,25
apple,20
blurred lines,20
excel,20
drive,20
baby einstein,20
squid,15
windows 8,15
gopro,15



Rising searches
galaxy s5,Breakout
selfie,Breakout
show me,+3,150%
speaker knockerz,+2,100%
faker,+1,600%
gta 5,+1,050%
squid,+200%
xbox one,+100%
kid ink,+90%
ps4,+70%



