YouTube Search interest
United States; Past 90 days

Interest over time
Day,Books & Literature
2014-06-20,+0%
2014-06-21,+2%
2014-06-22,+2%
2014-06-23,+0%
2014-06-24,+0%
2014-06-25,-4%
2014-06-26,+0%
2014-06-27,-4%
2014-06-28,-11%
2014-06-29,-7%
2014-06-30,-1%
2014-07-01,-5%
2014-07-02,-2%
2014-07-03,+0%
2014-07-04,-8%
2014-07-05,-7%
2014-07-06,-4%
2014-07-07,-4%
2014-07-08,-2%
2014-07-09,+5%
2014-07-10,+6%
2014-07-11,-1%
2014-07-12,+1%
2014-07-13,-8%
2014-07-14,-2%
2014-07-15,+1%
2014-07-16,+0%
2014-07-17,-4%
2014-07-18,-7%
2014-07-19,-1%
2014-07-20,-4%
2014-07-21,+1%
2014-07-22,-1%
2014-07-23,+1%
2014-07-24,+0%
2014-07-25,-5%
2014-07-26,-4%
2014-07-27,+6%
2014-07-28,+16%
2014-07-29,+9%
2014-07-30,+4%
2014-07-31,-1%
2014-08-01,+2%
2014-08-02,+0%
2014-08-03,-6%
2014-08-04,+4%
2014-08-05,-5%
2014-08-06,+0%
2014-08-07,-4%
2014-08-08,-1%
2014-08-09,-6%
2014-08-10,-1%
2014-08-11,-5%
2014-08-12,+5%
2014-08-13,-1%
2014-08-14,-1%
2014-08-15,-1%
2014-08-16,-7%
2014-08-17,-7%
2014-08-18,+0%
2014-08-19,-8%
2014-08-20,+0%
2014-08-21,+1%
2014-08-22,+0%
2014-08-23,-15%
2014-08-24,-9%
2014-08-25,-6%
2014-08-26,+6%
2014-08-27,+6%
2014-08-28,+1%
2014-08-29,+1%
2014-08-30,-9%
2014-08-31,-5%
2014-09-01,+2%
2014-09-02,+9%
2014-09-03,+13%
2014-09-04,+5%
2014-09-05,+6%
2014-09-06,-6%
2014-09-07,-4%
2014-09-08,+13%
2014-09-09,+12%
2014-09-10,+12%
2014-09-11,+5%
2014-09-12,+4%
2014-09-13,-7%
2014-09-14,+1%
2014-09-15,+13%
2014-09-16,+12%
2014-09-17,+18%
2014-09-18, 
2014-09-19, 



Top searches
game of thrones,100
audiobook,75
harry potter,40
sam hunt,30
lorde,25
sword art online,20
the hobbit,20
american authors,20
poetry,20
books,15
hopsin,15
pretty little liars,15
romeo,15
jeff the killer,10
sherlock,10
unturned,10
emmanuel,10
yes,10
sherlock holmes,10
lorde team,10



Rising searches
akame ga kill,Breakout
unturned,Breakout
sam hunt,+900%
diagon alley,+350%
tras la huella,+350%
believer american authors,+300%
the hobbit,+190%
into the woods,+160%
pretty little liars,+110%
the giver,+110%



