News Search interest
United States; Past 7 days

Interest over time
Day,Travel
2014-09-12,+0%
2014-09-13,-5%
2014-09-14,-5%
2014-09-15,+0%
2014-09-16,+19%
2014-09-17, 
2014-09-18, 



Top searches
airlines,100
airport,45
las vegas,35
united,25
boeing,25
hawaii,25
hotel,25
southwest,25
isil,25
southwest airlines,20
united airlines,20
california,20
amtrak,20
american airlines,20
delta,20
flights,15
barcelona,15
travel,15



Rising searches
amtrak,+110%
isil,+110%
california,+60%
american airlines,+40%



