News Search interest
United States; Past 30 days

Interest over time
Day,Travel
2014-08-19,+0%
2014-08-20,+8%
2014-08-21,-9%
2014-08-22,-6%
2014-08-23,-8%
2014-08-24,-3%
2014-08-25,-6%
2014-08-26,-1%
2014-08-27,+2%
2014-08-28,+6%
2014-08-29,-3%
2014-08-30,-1%
2014-08-31,-4%
2014-09-01,-12%
2014-09-02,-8%
2014-09-03,-4%
2014-09-04,-12%
2014-09-05,+3%
2014-09-06,-2%
2014-09-07,-14%
2014-09-08,+5%
2014-09-09,+0%
2014-09-10,-12%
2014-09-11,-5%
2014-09-12,-12%
2014-09-13,-15%
2014-09-14,-14%
2014-09-15,-13%
2014-09-16,+1%
2014-09-17, 
2014-09-18, 



Top searches
airlines,100
vegas,45
las vegas,40
airport,40
flight,35
yosemite,30
hotel,25
southwest,25
united,25
barcelona,20
boeing,20
southwest airlines,20
hawaii,20
hotels,20
delta,20
malaysia airlines,15
american airlines,15
united airlines,15
airline,15
isil,15



Rising searches
isil,+450%
hertz,+350%
yosemite,+170%
hong kong,+140%
lumia,+110%
mexico,+110%
roller coaster,+60%
california,+40%
marriott,+40%
six flags,+40%



